session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-20","cuteness_rating","cuteness","3","1706","1706"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-22","cuteness_rating","cuteness","7","1500","1500"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-26","cuteness_rating","cuteness","2","699","699"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-04","cuteness_rating","cuteness","2","434","434"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-12","cuteness_rating","cuteness","1","567","567"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-44","cuteness_rating","cuteness","2","466","466"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-30","cuteness_rating","cuteness","1","263","263"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-07","cuteness_rating","cuteness","2","350","350"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-29","cuteness_rating","cuteness","1","200","200"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-28","cuteness_rating","cuteness","2","266","266"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-50","cuteness_rating","cuteness","1","201","201"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-10","cuteness_rating","cuteness","3","166","166"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-41","cuteness_rating","cuteness","1","167","167"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-32","cuteness_rating","cuteness","2","183","183"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-05","cuteness_rating","cuteness","1","167","167"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-09","cuteness_rating","cuteness","3","183","183"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-21","cuteness_rating","cuteness","1","217","217"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-19","cuteness_rating","cuteness","2","200","200"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-27","cuteness_rating","cuteness","1","217","217"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-17","cuteness_rating","cuteness","2","416","416"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-25","cuteness_rating","cuteness","1","234","234"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-47","cuteness_rating","cuteness","2","354","354"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-06","cuteness_rating","cuteness","1","183","185"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-16","cuteness_rating","cuteness","2","148","148"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-23","cuteness_rating","cuteness","1","184","184"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-31","cuteness_rating","cuteness","2","200","200"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-43","cuteness_rating","cuteness","1","150","151"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-42","cuteness_rating","cuteness","2","196","196"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-34","cuteness_rating","cuteness","1","185","185"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-01","cuteness_rating","cuteness","2","168","168"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-02","cuteness_rating","cuteness","1","180","180"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-14","cuteness_rating","cuteness","2","202","203"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-35","cuteness_rating","cuteness","1","166","166"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-36","cuteness_rating","cuteness","2","197","197"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-33","cuteness_rating","cuteness","1","203","203"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-18","cuteness_rating","cuteness","2","183","183"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-24","cuteness_rating","cuteness","1","166","166"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-15","cuteness_rating","cuteness","2","183","183"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-46","cuteness_rating","cuteness","1","201","201"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-49","cuteness_rating","cuteness","2","199","199"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-13","cuteness_rating","cuteness","1","150","150"
"session-1776694877937-w9ex3i","1","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-37","cuteness_rating","cuteness","2","184","184"
