session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","1","cute-05","cuteness_rating","cuteness","7","1065","1065"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","2","cute-29","cuteness_rating","cuteness","6","682","683"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","3","cute-31","cuteness_rating","cuteness","7","332","332"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","4","cute-04","cuteness_rating","cuteness","6","217","217"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","5","cute-06","cuteness_rating","cuteness","7","199","199"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","6","cute-16","cuteness_rating","cuteness","6","201","201"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","7","cute-41","cuteness_rating","cuteness","7","182","182"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","8","cute-35","cuteness_rating","cuteness","6","202","202"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","9","cute-03","cuteness_rating","cuteness","7","182","182"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","10","cute-17","cuteness_rating","cuteness","6","501","501"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","11","cute-23","cuteness_rating","cuteness","7","199","199"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","12","cute-22","cuteness_rating","cuteness","6","217","217"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","13","cute-27","cuteness_rating","cuteness","7","183","183"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","14","cute-36","cuteness_rating","cuteness","6","184","185"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","15","cute-33","cuteness_rating","cuteness","7","183","183"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","16","cute-50","cuteness_rating","cuteness","6","200","200"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","17","cute-47","cuteness_rating","cuteness","7","167","167"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","18","cute-24","cuteness_rating","cuteness","6","199","200"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","19","cute-32","cuteness_rating","cuteness","7","199","199"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","20","cute-18","cuteness_rating","cuteness","6","217","217"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","21","cute-48","cuteness_rating","cuteness","7","217","217"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","22","cute-01","cuteness_rating","cuteness","6","197","197"
"session-1776695121492-2dk4ee","14","응답 안 함","항국","B","cute:advantaged","server","","","","stimulus","23","cute-09","cuteness_rating","cuteness","7","219","219"
