session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-45","cuteness_rating","cuteness","7","1388","1388"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-33","cuteness_rating","cuteness","7","916","917"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-12","cuteness_rating","cuteness","7","667","667"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-28","cuteness_rating","cuteness","7","483","483"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-23","cuteness_rating","cuteness","7","383","383"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-11","cuteness_rating","cuteness","7","266","266"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-22","cuteness_rating","cuteness","7","351","351"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-09","cuteness_rating","cuteness","7","300","300"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-26","cuteness_rating","cuteness","7","267","267"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-14","cuteness_rating","cuteness","7","250","250"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-37","cuteness_rating","cuteness","7","233","233"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-29","cuteness_rating","cuteness","7","233","234"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-24","cuteness_rating","cuteness","7","217","217"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-05","cuteness_rating","cuteness","7","217","217"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-15","cuteness_rating","cuteness","7","216","217"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-38","cuteness_rating","cuteness","7","216","216"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-20","cuteness_rating","cuteness","7","400","400"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-01","cuteness_rating","cuteness","7","167","167"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-06","cuteness_rating","cuteness","7","200","200"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-48","cuteness_rating","cuteness","7","366","366"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-07","cuteness_rating","cuteness","7","367","367"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-13","cuteness_rating","cuteness","7","184","184"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-35","cuteness_rating","cuteness","7","366","366"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-41","cuteness_rating","cuteness","7","167","167"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-08","cuteness_rating","cuteness","7","133","133"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-49","cuteness_rating","cuteness","7","167","167"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-10","cuteness_rating","cuteness","7","150","150"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-19","cuteness_rating","cuteness","7","150","150"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-50","cuteness_rating","cuteness","7","283","283"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-02","cuteness_rating","cuteness","7","150","150"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-27","cuteness_rating","cuteness","7","167","167"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-03","cuteness_rating","cuteness","7","150","150"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-40","cuteness_rating","cuteness","7","150","150"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-25","cuteness_rating","cuteness","7","166","166"
"session-1776695164887-7y3n9g","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-32","cuteness_rating","cuteness","7","150","150"
