session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-37","cuteness_rating","cuteness","","","7027"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-01","cuteness_rating","cuteness","1","2327","2327"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-08","cuteness_rating","cuteness","1","1006","1006"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-38","cuteness_rating","cuteness","1","1116","1117"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-14","cuteness_rating","cuteness","2","1986","1986"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-02","cuteness_rating","cuteness","1","2378","2378"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-23","cuteness_rating","cuteness","1","1894","1894"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-44","cuteness_rating","cuteness","1","1470","1471"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-49","cuteness_rating","cuteness","3","4725","4725"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-32","cuteness_rating","cuteness","2","1606","1606"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-22","cuteness_rating","cuteness","3","2832","2832"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-26","cuteness_rating","cuteness","2","1651","1651"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-04","cuteness_rating","cuteness","1","2258","2258"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-28","cuteness_rating","cuteness","2","2044","2044"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-09","cuteness_rating","cuteness","1","2488","2488"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-43","cuteness_rating","cuteness","1","1021","1022"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-46","cuteness_rating","cuteness","3","1323","1323"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-40","cuteness_rating","cuteness","1","1789","1789"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-03","cuteness_rating","cuteness","2","2100","2100"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-31","cuteness_rating","cuteness","2","4421","4421"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-50","cuteness_rating","cuteness","1","1347","1347"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-13","cuteness_rating","cuteness","2","1572","1572"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-15","cuteness_rating","cuteness","1","2005","2005"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-10","cuteness_rating","cuteness","2","5454","5454"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-34","cuteness_rating","cuteness","1","1455","1455"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-07","cuteness_rating","cuteness","4","2565","2565"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-06","cuteness_rating","cuteness","4","1207","1208"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-35","cuteness_rating","cuteness","1","1793","1793"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-27","cuteness_rating","cuteness","3","1792","1792"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-05","cuteness_rating","cuteness","1","1367","1367"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-33","cuteness_rating","cuteness","1","2155","2155"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-48","cuteness_rating","cuteness","1","1450","1450"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-25","cuteness_rating","cuteness","1","1892","1892"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-36","cuteness_rating","cuteness","1","944","944"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-19","cuteness_rating","cuteness","4","4723","4723"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-41","cuteness_rating","cuteness","1","1534","1535"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-29","cuteness_rating","cuteness","3","1410","1411"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-47","cuteness_rating","cuteness","1","1350","1350"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-16","cuteness_rating","cuteness","1","1297","1297"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-24","cuteness_rating","cuteness","2","1217","1217"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-42","cuteness_rating","cuteness","1","1243","1243"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-39","cuteness_rating","cuteness","1","915","916"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-21","cuteness_rating","cuteness","1","1057","1057"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-17","cuteness_rating","cuteness","2","1598","1599"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-20","cuteness_rating","cuteness","3","1404","1405"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-18","cuteness_rating","cuteness","3","1677","1678"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-11","cuteness_rating","cuteness","1","1948","1948"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-30","cuteness_rating","cuteness","1","1176","1176"
"session-1777340783406-7jxbqs","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-45","cuteness_rating","cuteness","1","902","902"
