session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-01","cuteness_rating","cuteness","6","4589","4589"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-50","cuteness_rating","cuteness","3","2494","2494"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-05","cuteness_rating","cuteness","4","3966","3967"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-28","cuteness_rating","cuteness","7","3783","3783"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-08","cuteness_rating","cuteness","6","1909","1909"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-33","cuteness_rating","cuteness","7","2223","2223"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-43","cuteness_rating","cuteness","2","2005","2005"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-15","cuteness_rating","cuteness","3","4142","4142"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-29","cuteness_rating","cuteness","1","2220","2220"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-31","cuteness_rating","cuteness","2","2065","2066"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-13","cuteness_rating","cuteness","5","3550","3550"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-03","cuteness_rating","cuteness","6","2151","2152"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-21","cuteness_rating","cuteness","7","1799","1799"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-32","cuteness_rating","cuteness","6","1756","1756"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-14","cuteness_rating","cuteness","5","2415","2415"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-11","cuteness_rating","cuteness","3","1848","1848"
"session-1777340798097-z4mc08","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-12","cuteness_rating","cuteness","1","2328","2328"
