session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-19","cuteness_rating","cuteness","3","3548","3548"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-13","cuteness_rating","cuteness","3","222","222"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-40","cuteness_rating","cuteness","4","4578","4578"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-28","cuteness_rating","cuteness","5","5008","5008"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-22","cuteness_rating","cuteness","5","3598","3598"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-21","cuteness_rating","cuteness","5","3961","3961"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-36","cuteness_rating","cuteness","3","5878","5878"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-49","cuteness_rating","cuteness","5","4345","4345"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-26","cuteness_rating","cuteness","2","2945","2945"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-15","cuteness_rating","cuteness","6","3013","3013"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-07","cuteness_rating","cuteness","5","2482","2482"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-11","cuteness_rating","cuteness","6","4352","4352"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-48","cuteness_rating","cuteness","2","2863","2863"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-14","cuteness_rating","cuteness","7","4831","4831"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-29","cuteness_rating","cuteness","6","5347","5347"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-16","cuteness_rating","cuteness","4","3560","3560"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-46","cuteness_rating","cuteness","3","3316","3316"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-06","cuteness_rating","cuteness","3","4011","4012"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-24","cuteness_rating","cuteness","3","3039","3039"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-37","cuteness_rating","cuteness","5","2900","2901"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-12","cuteness_rating","cuteness","5","3931","3931"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-34","cuteness_rating","cuteness","3","5526","5527"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-18","cuteness_rating","cuteness","1","3470","3470"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-20","cuteness_rating","cuteness","3","3431","3431"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-25","cuteness_rating","cuteness","4","3354","3354"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-38","cuteness_rating","cuteness","4","4440","4440"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-01","cuteness_rating","cuteness","3","5209","5209"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-23","cuteness_rating","cuteness","5","2562","2562"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-42","cuteness_rating","cuteness","4","2740","2740"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-03","cuteness_rating","cuteness","3","4914","4915"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-43","cuteness_rating","cuteness","6","3328","3329"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-31","cuteness_rating","cuteness","6","3954","3955"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-17","cuteness_rating","cuteness","3","3039","3039"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-35","cuteness_rating","cuteness","3","3088","3089"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-50","cuteness_rating","cuteness","2","2690","2690"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","36","cute-27","cuteness_rating","cuteness","1","2721","2721"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","37","cute-04","cuteness_rating","cuteness","2","3254","3254"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","38","cute-44","cuteness_rating","cuteness","4","3401","3401"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","39","cute-32","cuteness_rating","cuteness","3","5230","5230"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","40","cute-10","cuteness_rating","cuteness","3","2006","2006"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","41","cute-02","cuteness_rating","cuteness","5","2836","2836"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","42","cute-30","cuteness_rating","cuteness","6","4831","4831"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","43","cute-39","cuteness_rating","cuteness","7","3033","3033"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","44","cute-09","cuteness_rating","cuteness","6","3670","3670"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","45","cute-45","cuteness_rating","cuteness","3","3978","3978"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","46","cute-47","cuteness_rating","cuteness","3","2117","2117"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","47","cute-41","cuteness_rating","cuteness","4","3465","3466"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","48","cute-08","cuteness_rating","cuteness","5","2591","2591"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","49","cute-33","cuteness_rating","cuteness","6","4104","4104"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","50","cute-05","cuteness_rating","cuteness","3","2641","2641"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","21522","23486"
"session-1777340816765-587h0q","23","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","2","14079","15677"
