session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-30","cuteness_rating","cuteness","6","6607","6607"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-19","cuteness_rating","cuteness","5","2089","2089"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-25","cuteness_rating","cuteness","4","3317","3317"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-40","cuteness_rating","cuteness","6","1541","1541"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-46","cuteness_rating","cuteness","3","3724","3724"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-22","cuteness_rating","cuteness","7","1992","1992"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-45","cuteness_rating","cuteness","5","1582","1583"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-26","cuteness_rating","cuteness","4","1598","1598"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-12","cuteness_rating","cuteness","7","1691","1691"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-35","cuteness_rating","cuteness","3","3564","3564"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-38","cuteness_rating","cuteness","2","2178","2179"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-42","cuteness_rating","cuteness","4","2652","2652"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-01","cuteness_rating","cuteness","6","1684","1684"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-41","cuteness_rating","cuteness","7","1449","1449"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-27","cuteness_rating","cuteness","5","3200","3200"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-15","cuteness_rating","cuteness","6","2551","2551"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-04","cuteness_rating","cuteness","6","1655","1655"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-17","cuteness_rating","cuteness","7","1791","1791"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-16","cuteness_rating","cuteness","7","1892","1892"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-14","cuteness_rating","cuteness","7","1598","1598"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-06","cuteness_rating","cuteness","7","3324","3325"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-31","cuteness_rating","cuteness","7","1816","1816"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-49","cuteness_rating","cuteness","6","2402","2403"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-13","cuteness_rating","cuteness","6","1205","1205"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-02","cuteness_rating","cuteness","5","1633","1633"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-50","cuteness_rating","cuteness","4","3841","3841"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-07","cuteness_rating","cuteness","4","2098","2098"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-09","cuteness_rating","cuteness","6","1277","1277"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-28","cuteness_rating","cuteness","5","2776","2776"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-03","cuteness_rating","cuteness","5","1268","1268"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-34","cuteness_rating","cuteness","5","2742","2742"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-37","cuteness_rating","cuteness","4","2102","2102"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-33","cuteness_rating","cuteness","4","2113","2114"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-08","cuteness_rating","cuteness","6","1593","1593"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-47","cuteness_rating","cuteness","6","3447","3447"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-21","cuteness_rating","cuteness","6","2399","2399"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-05","cuteness_rating","cuteness","5","1467","1467"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-32","cuteness_rating","cuteness","7","2581","2582"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-48","cuteness_rating","cuteness","4","1828","1828"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-20","cuteness_rating","cuteness","4","2986","2986"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-29","cuteness_rating","cuteness","4","2476","2476"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-39","cuteness_rating","cuteness","6","2183","2183"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-10","cuteness_rating","cuteness","5","1530","1530"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-43","cuteness_rating","cuteness","4","1778","1778"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-24","cuteness_rating","cuteness","6","2822","2822"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","46","cute-11","cuteness_rating","cuteness","6","2157","2157"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","47","cute-36","cuteness_rating","cuteness","6","1376","1376"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","48","cute-44","cuteness_rating","cuteness","5","2267","2267"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","49","cute-23","cuteness_rating","cuteness","5","2707","2707"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","50","cute-18","cuteness_rating","cuteness","5","1815","1815"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","22875","23558"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","6","4569","6037"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","22573","23482"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","6","4484","5424"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","1","15362","16668"
"session-1777340822255-865lnj","20","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","5","4127","5231"
