session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-23","cuteness_rating","cuteness","1","2204","2204"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-01","cuteness_rating","cuteness","1","1654","1654"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-14","cuteness_rating","cuteness","1","986","986"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-18","cuteness_rating","cuteness","1","1385","1385"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-31","cuteness_rating","cuteness","1","922","922"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-42","cuteness_rating","cuteness","1","980","980"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-35","cuteness_rating","cuteness","1","950","950"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-39","cuteness_rating","cuteness","1","1144","1144"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-26","cuteness_rating","cuteness","1","962","962"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-04","cuteness_rating","cuteness","1","1466","1466"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-40","cuteness_rating","cuteness","1","924","924"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-28","cuteness_rating","cuteness","1","963","963"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-12","cuteness_rating","cuteness","1","947","947"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-44","cuteness_rating","cuteness","1","1076","1076"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-13","cuteness_rating","cuteness","1","1015","1016"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-06","cuteness_rating","cuteness","1","1401","1401"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-20","cuteness_rating","cuteness","1","1056","1056"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-07","cuteness_rating","cuteness","2","1959","1959"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-17","cuteness_rating","cuteness","1","1742","1742"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-27","cuteness_rating","cuteness","1","1012","1012"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-43","cuteness_rating","cuteness","1","1101","1101"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-19","cuteness_rating","cuteness","1","1306","1306"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-24","cuteness_rating","cuteness","1","999","999"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-11","cuteness_rating","cuteness","1","1617","1617"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-36","cuteness_rating","cuteness","1","999","999"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-38","cuteness_rating","cuteness","1","975","975"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-34","cuteness_rating","cuteness","1","891","891"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-05","cuteness_rating","cuteness","1","996","996"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-03","cuteness_rating","cuteness","1","962","962"
"session-1777340822543-uhis08","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-50","cuteness_rating","cuteness","1","956","956"
