session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-50","cuteness_rating","cuteness","","","7006"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-46","cuteness_rating","cuteness","2","1939","1939"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-42","cuteness_rating","cuteness","2","1567","1567"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-24","cuteness_rating","cuteness","2","1251","1251"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-19","cuteness_rating","cuteness","3","2250","2250"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-49","cuteness_rating","cuteness","3","1779","1779"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-23","cuteness_rating","cuteness","2","1463","1463"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-45","cuteness_rating","cuteness","2","1253","1253"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-30","cuteness_rating","cuteness","2","909","909"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-05","cuteness_rating","cuteness","2","1002","1002"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-07","cuteness_rating","cuteness","4","1808","1808"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-01","cuteness_rating","cuteness","4","1763","1763"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-31","cuteness_rating","cuteness","4","1292","1292"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-26","cuteness_rating","cuteness","2","1755","1755"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-22","cuteness_rating","cuteness","2","1192","1192"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-25","cuteness_rating","cuteness","2","1265","1265"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-02","cuteness_rating","cuteness","2","878","878"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-27","cuteness_rating","cuteness","2","855","855"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-38","cuteness_rating","cuteness","2","818","819"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-20","cuteness_rating","cuteness","2","922","922"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-03","cuteness_rating","cuteness","2","1178","1179"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-28","cuteness_rating","cuteness","2","914","914"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-48","cuteness_rating","cuteness","2","801","802"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-44","cuteness_rating","cuteness","2","774","774"
"session-1777340824022-ul6fst","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-40","cuteness_rating","cuteness","2","781","781"
