session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-13","cuteness_rating","cuteness","5","5410","5410"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-33","cuteness_rating","cuteness","6","1849","1849"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-44","cuteness_rating","cuteness","6","1892","1892"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-18","cuteness_rating","cuteness","7","2717","2717"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-47","cuteness_rating","cuteness","6","4497","4497"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-36","cuteness_rating","cuteness","3","6286","6286"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-40","cuteness_rating","cuteness","3","1633","1633"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-21","cuteness_rating","cuteness","3","1483","1483"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-43","cuteness_rating","cuteness","4","2750","2750"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-37","cuteness_rating","cuteness","3","1650","1650"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-22","cuteness_rating","cuteness","6","3767","3767"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-26","cuteness_rating","cuteness","7","1825","1825"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-25","cuteness_rating","cuteness","4","5608","5608"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-15","cuteness_rating","cuteness","3","1850","1850"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-34","cuteness_rating","cuteness","2","1750","1750"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-07","cuteness_rating","cuteness","7","1966","1966"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-49","cuteness_rating","cuteness","7","900","900"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-45","cuteness_rating","cuteness","2","3450","3450"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-06","cuteness_rating","cuteness","4","2366","2366"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-01","cuteness_rating","cuteness","4","2950","2950"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-23","cuteness_rating","cuteness","4","2475","2475"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-39","cuteness_rating","cuteness","2","3242","3242"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-11","cuteness_rating","cuteness","2","3000","3000"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-28","cuteness_rating","cuteness","6","4950","4950"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-04","cuteness_rating","cuteness","4","1783","1783"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-29","cuteness_rating","cuteness","1","2400","2400"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-35","cuteness_rating","cuteness","1","1633","1633"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-31","cuteness_rating","cuteness","4","1959","1959"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-38","cuteness_rating","cuteness","2","1441","1441"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-50","cuteness_rating","cuteness","5","1917","1917"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-14","cuteness_rating","cuteness","5","1825","1825"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-24","cuteness_rating","cuteness","5","1550","1550"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-05","cuteness_rating","cuteness","5","1158","1158"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-32","cuteness_rating","cuteness","4","2250","2250"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-48","cuteness_rating","cuteness","1","2241","2241"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","36","cute-20","cuteness_rating","cuteness","3","1958","1958"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","37","cute-46","cuteness_rating","cuteness","3","1067","1067"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","38","cute-27","cuteness_rating","cuteness","5","1875","1875"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","39","cute-17","cuteness_rating","cuteness","3","1773","1773"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","40","cute-08","cuteness_rating","cuteness","2","1386","1386"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","41","cute-41","cuteness_rating","cuteness","2","1117","1117"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","42","cute-19","cuteness_rating","cuteness","6","1866","1866"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","43","cute-12","cuteness_rating","cuteness","3","1459","1459"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","44","cute-02","cuteness_rating","cuteness","5","1450","1450"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","45","cute-10","cuteness_rating","cuteness","2","2225","2225"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","46","cute-09","cuteness_rating","cuteness","2","1122","1122"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","47","cute-16","cuteness_rating","cuteness","2","1294","1294"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","48","cute-03","cuteness_rating","cuteness","7","1733","1733"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","49","cute-30","cuteness_rating","cuteness","3","1760","1760"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","50","cute-42","cuteness_rating","cuteness","2","1599","1599"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","3","29033","35608"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","3","4241","5074"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","22483","23549"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","2","1333","2033"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","4","23858","25217"
"session-1777340825653-7pfvtl","24","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","2","2142","3067"
