session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-06","cuteness_rating","cuteness","1","6244","6244"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-48","cuteness_rating","cuteness","1","2227","2227"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-41","cuteness_rating","cuteness","2","4811","4811"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-02","cuteness_rating","cuteness","1","1324","1324"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-31","cuteness_rating","cuteness","1","960","960"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-38","cuteness_rating","cuteness","1","2651","2651"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-43","cuteness_rating","cuteness","1","1489","1489"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-39","cuteness_rating","cuteness","2","6487","6487"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-09","cuteness_rating","cuteness","1","1365","1365"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-24","cuteness_rating","cuteness","1","1614","1614"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-23","cuteness_rating","cuteness","2","1731","1731"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-16","cuteness_rating","cuteness","1","1035","1036"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-20","cuteness_rating","cuteness","1","1418","1418"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-12","cuteness_rating","cuteness","1","952","952"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-37","cuteness_rating","cuteness","1","1478","1478"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-22","cuteness_rating","cuteness","1","1552","1553"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-21","cuteness_rating","cuteness","1","850","850"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-05","cuteness_rating","cuteness","2","1663","1663"
"session-1777340825971-w74vdn","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-07","cuteness_rating","cuteness","2","2339","2339"
