session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-40","cuteness_rating","cuteness","7","3382","3382"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-38","cuteness_rating","cuteness","3","5531","5531"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-12","cuteness_rating","cuteness","7","3025","3026"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-32","cuteness_rating","cuteness","1","2908","2908"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-42","cuteness_rating","cuteness","6","2015","2015"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-24","cuteness_rating","cuteness","6","1933","1933"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-26","cuteness_rating","cuteness","4","2105","2105"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-48","cuteness_rating","cuteness","3","5143","5143"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-13","cuteness_rating","cuteness","7","2016","2016"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-28","cuteness_rating","cuteness","2","2271","2271"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-02","cuteness_rating","cuteness","4","1735","1735"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-07","cuteness_rating","cuteness","5","1827","1827"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-37","cuteness_rating","cuteness","4","1914","1914"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-23","cuteness_rating","cuteness","5","1739","1739"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-34","cuteness_rating","cuteness","5","1492","1492"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-29","cuteness_rating","cuteness","1","2134","2134"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-49","cuteness_rating","cuteness","2","2654","2654"
"session-1777340828606-dyav40","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-50","cuteness_rating","cuteness","3","1950","1950"
