session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-25","cuteness_rating","cuteness","6","5788","5788"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-12","cuteness_rating","cuteness","7","5014","5014"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-11","cuteness_rating","cuteness","7","1221","1222"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-14","cuteness_rating","cuteness","7","982","982"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-39","cuteness_rating","cuteness","6","3552","3552"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-40","cuteness_rating","cuteness","6","1680","1680"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-16","cuteness_rating","cuteness","6","2011","2011"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-01","cuteness_rating","cuteness","6","1786","1787"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-32","cuteness_rating","cuteness","5","2030","2030"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-04","cuteness_rating","cuteness","7","1571","1572"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-29","cuteness_rating","cuteness","6","6438","6438"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-41","cuteness_rating","cuteness","5","1943","1943"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-31","cuteness_rating","cuteness","7","2702","2702"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-50","cuteness_rating","cuteness","5","3955","3955"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-07","cuteness_rating","cuteness","7","2699","2699"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-45","cuteness_rating","cuteness","6","4181","4181"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-23","cuteness_rating","cuteness","5","1727","1728"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-38","cuteness_rating","cuteness","5","5350","5351"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-42","cuteness_rating","cuteness","4","2455","2455"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-49","cuteness_rating","cuteness","3","2051","2051"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-22","cuteness_rating","cuteness","6","3966","3966"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-47","cuteness_rating","cuteness","3","3327","3327"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-18","cuteness_rating","cuteness","6","2256","2257"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-19","cuteness_rating","cuteness","5","6290","6290"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-24","cuteness_rating","cuteness","4","3010","3010"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-26","cuteness_rating","cuteness","2","1726","1726"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-02","cuteness_rating","cuteness","5","4812","4812"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-06","cuteness_rating","cuteness","6","2273","2274"
"session-1777340836343-v9j6wc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-46","cuteness_rating","cuteness","1","1985","1985"
