session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-05","cuteness_rating","cuteness","6","4300","4300"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-22","cuteness_rating","cuteness","7","1867","1867"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-11","cuteness_rating","cuteness","7","1666","1666"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-28","cuteness_rating","cuteness","4","6316","6316"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-31","cuteness_rating","cuteness","7","2750","2750"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-27","cuteness_rating","cuteness","4","2117","2118"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-09","cuteness_rating","cuteness","7","4150","4150"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-03","cuteness_rating","cuteness","6","2565","2565"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-13","cuteness_rating","cuteness","5","3968","3968"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-47","cuteness_rating","cuteness","3","4716","4716"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-07","cuteness_rating","cuteness","4","2849","2849"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-43","cuteness_rating","cuteness","4","5067","5068"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-45","cuteness_rating","cuteness","3","2933","2933"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-21","cuteness_rating","cuteness","5","2300","2300"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-48","cuteness_rating","cuteness","2","2599","2599"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-39","cuteness_rating","cuteness","7","5101","5101"
"session-1777340850066-i1hy61","21","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-38","cuteness_rating","cuteness","5","3633","3633"
