session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-48","cuteness_rating","cuteness","2","3844","3845"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-18","cuteness_rating","cuteness","1","4560","4560"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-21","cuteness_rating","cuteness","3","2802","2802"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-44","cuteness_rating","cuteness","2","3303","3303"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-22","cuteness_rating","cuteness","3","4267","4267"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-45","cuteness_rating","cuteness","3","5345","5345"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-12","cuteness_rating","cuteness","2","1819","1819"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-07","cuteness_rating","cuteness","5","2666","2666"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-31","cuteness_rating","cuteness","3","2834","2834"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-43","cuteness_rating","cuteness","2","1549","1549"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-24","cuteness_rating","cuteness","2","1584","1584"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-38","cuteness_rating","cuteness","3","1317","1317"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-46","cuteness_rating","cuteness","2","2547","2547"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-05","cuteness_rating","cuteness","2","1203","1203"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-26","cuteness_rating","cuteness","4","3548","3548"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-28","cuteness_rating","cuteness","3","1300","1300"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-40","cuteness_rating","cuteness","4","1320","1321"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-42","cuteness_rating","cuteness","2","1468","1468"
"session-1777340851377-e3f2vw","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-14","cuteness_rating","cuteness","2","1431","1431"
