session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-36","cuteness_rating","cuteness","1","3128","3128"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-25","cuteness_rating","cuteness","1","1195","1196"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-39","cuteness_rating","cuteness","1","1532","1533"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-37","cuteness_rating","cuteness","1","1251","1252"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-02","cuteness_rating","cuteness","1","979","980"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-32","cuteness_rating","cuteness","1","976","977"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-12","cuteness_rating","cuteness","1","1036","1036"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-29","cuteness_rating","cuteness","1","2165","2165"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-01","cuteness_rating","cuteness","1","1165","1165"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-18","cuteness_rating","cuteness","1","1307","1308"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-11","cuteness_rating","cuteness","1","1192","1192"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-50","cuteness_rating","cuteness","1","1234","1234"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-13","cuteness_rating","cuteness","1","1108","1108"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-17","cuteness_rating","cuteness","1","2544","2545"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-26","cuteness_rating","cuteness","1","1083","1083"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-22","cuteness_rating","cuteness","1","1024","1024"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-07","cuteness_rating","cuteness","2","1636","1636"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-48","cuteness_rating","cuteness","1","4052","4052"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-44","cuteness_rating","cuteness","1","1299","1299"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-45","cuteness_rating","cuteness","1","977","977"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-47","cuteness_rating","cuteness","1","1095","1095"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-46","cuteness_rating","cuteness","1","1109","1109"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-19","cuteness_rating","cuteness","3","2045","2046"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-08","cuteness_rating","cuteness","2","1835","1835"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-21","cuteness_rating","cuteness","3","1597","1597"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-10","cuteness_rating","cuteness","1","1751","1751"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-04","cuteness_rating","cuteness","1","861","861"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-09","cuteness_rating","cuteness","1","917","917"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-35","cuteness_rating","cuteness","1","1567","1568"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-05","cuteness_rating","cuteness","2","1771","1772"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-14","cuteness_rating","cuteness","1","1943","1943"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-15","cuteness_rating","cuteness","1","980","980"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-23","cuteness_rating","cuteness","1","1157","1157"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-30","cuteness_rating","cuteness","1","827","827"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-31","cuteness_rating","cuteness","1","881","882"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-06","cuteness_rating","cuteness","1","803","803"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-33","cuteness_rating","cuteness","1","753","753"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-42","cuteness_rating","cuteness","1","766","766"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-34","cuteness_rating","cuteness","3","1760","1761"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-16","cuteness_rating","cuteness","2","1412","1412"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-41","cuteness_rating","cuteness","2","1118","1119"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-49","cuteness_rating","cuteness","2","1432","1432"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-27","cuteness_rating","cuteness","1","1550","1551"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-40","cuteness_rating","cuteness","1","996","997"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-24","cuteness_rating","cuteness","1","1074","1074"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-20","cuteness_rating","cuteness","1","1043","1043"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-43","cuteness_rating","cuteness","1","1382","1382"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-28","cuteness_rating","cuteness","1","799","799"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-38","cuteness_rating","cuteness","1","803","804"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","","","","stimulus","50","neutral-03","cuteness_rating","cuteness","1","771","772"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","19249","20617"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","1","3657","6690"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","5","24271","25726"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","3","2224","3562"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","2","18586","20076"
"session-1777340856999-xqz9sr","18","여성","India","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","4","2043","4258"
