session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-17","cuteness_rating","cuteness","1","2694","2697"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-29","cuteness_rating","cuteness","2","1571","1571"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-23","cuteness_rating","cuteness","2","1934","1934"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-48","cuteness_rating","cuteness","1","1830","1830"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-43","cuteness_rating","cuteness","1","1435","1435"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-46","cuteness_rating","cuteness","1","2462","2462"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-13","cuteness_rating","cuteness","1","1017","1017"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-39","cuteness_rating","cuteness","1","1134","1134"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-28","cuteness_rating","cuteness","1","2718","2719"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-16","cuteness_rating","cuteness","1","1363","1363"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-44","cuteness_rating","cuteness","1","1297","1298"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-36","cuteness_rating","cuteness","4","1566","1566"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-25","cuteness_rating","cuteness","2","1539","1539"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-27","cuteness_rating","cuteness","3","1693","1694"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-45","cuteness_rating","cuteness","1","2039","2039"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-20","cuteness_rating","cuteness","1","1371","1371"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-47","cuteness_rating","cuteness","1","986","986"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-41","cuteness_rating","cuteness","1","1025","1025"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-26","cuteness_rating","cuteness","2","2145","2145"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-40","cuteness_rating","cuteness","2","1332","1332"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-42","cuteness_rating","cuteness","1","1115","1116"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-18","cuteness_rating","cuteness","4","2224","2224"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-35","cuteness_rating","cuteness","2","2642","2642"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-32","cuteness_rating","cuteness","1","1823","1823"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-38","cuteness_rating","cuteness","1","950","950"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-15","cuteness_rating","cuteness","1","752","752"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-10","cuteness_rating","cuteness","1","872","872"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-24","cuteness_rating","cuteness","1","885","885"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-21","cuteness_rating","cuteness","1","751","751"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-01","cuteness_rating","cuteness","2","2175","2175"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-50","cuteness_rating","cuteness","2","1373","1373"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-07","cuteness_rating","cuteness","2","1685","1686"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-22","cuteness_rating","cuteness","1","1772","1772"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-09","cuteness_rating","cuteness","1","1214","1215"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-37","cuteness_rating","cuteness","1","1176","1176"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-34","cuteness_rating","cuteness","1","1252","1252"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-12","cuteness_rating","cuteness","1","2880","2880"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-08","cuteness_rating","cuteness","1","729","730"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-03","cuteness_rating","cuteness","2","1741","1741"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-05","cuteness_rating","cuteness","1","1043","1043"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-11","cuteness_rating","cuteness","1","1165","1165"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-31","cuteness_rating","cuteness","4","2572","2572"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-49","cuteness_rating","cuteness","3","2018","2018"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-19","cuteness_rating","cuteness","2","2195","2195"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-04","cuteness_rating","cuteness","2","1912","1912"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-14","cuteness_rating","cuteness","1","1854","1854"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-06","cuteness_rating","cuteness","1","1332","1332"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-33","cuteness_rating","cuteness","1","908","908"
"session-1777340859792-zc10dn","24","여성","USA","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-02","cuteness_rating","cuteness","1","836","836"
