session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","1","cute-07","cuteness_rating","cuteness","6","5849","5851"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","2","cute-09","cuteness_rating","cuteness","4","3985","3986"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","3","cute-02","cuteness_rating","cuteness","3","2388","2388"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","4","cute-40","cuteness_rating","cuteness","6","2118","2118"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","5","cute-32","cuteness_rating","cuteness","5","1886","1886"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","6","cute-48","cuteness_rating","cuteness","2","2089","2090"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","7","cute-31","cuteness_rating","cuteness","7","2282","2284"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","8","cute-23","cuteness_rating","cuteness","6","1693","1693"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","9","cute-28","cuteness_rating","cuteness","7","2955","2955"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","10","cute-26","cuteness_rating","cuteness","3","2959","2959"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","11","cute-25","cuteness_rating","cuteness","5","1801","1801"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","12","cute-33","cuteness_rating","cuteness","6","1990","1990"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","13","cute-36","cuteness_rating","cuteness","3","2358","2358"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","14","cute-06","cuteness_rating","cuteness","6","1918","1918"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","15","cute-30","cuteness_rating","cuteness","7","1822","1822"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","16","cute-34","cuteness_rating","cuteness","5","2860","2861"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","17","cute-37","cuteness_rating","cuteness","5","2574","2575"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","18","cute-39","cuteness_rating","cuteness","6","2211","2211"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","19","cute-21","cuteness_rating","cuteness","6","1973","1973"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","20","cute-05","cuteness_rating","cuteness","6","1538","1538"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","21","cute-35","cuteness_rating","cuteness","2","2396","2397"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","22","cute-29","cuteness_rating","cuteness","5","2387","2387"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","23","cute-12","cuteness_rating","cuteness","7","2046","2046"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","24","cute-42","cuteness_rating","cuteness","1","3772","3772"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","25","cute-18","cuteness_rating","cuteness","4","2336","2336"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","26","cute-15","cuteness_rating","cuteness","5","1980","1980"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","27","cute-38","cuteness_rating","cuteness","3","2134","2134"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","28","cute-16","cuteness_rating","cuteness","7","2043","2044"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","29","cute-27","cuteness_rating","cuteness","3","3872","3872"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","30","cute-08","cuteness_rating","cuteness","7","2201","2201"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","31","cute-46","cuteness_rating","cuteness","1","2082","2082"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","32","cute-50","cuteness_rating","cuteness","5","2168","2168"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","33","cute-01","cuteness_rating","cuteness","7","2249","2249"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","34","cute-13","cuteness_rating","cuteness","7","1644","1644"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","35","cute-17","cuteness_rating","cuteness","6","1538","1539"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","36","cute-03","cuteness_rating","cuteness","7","2034","2034"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","37","cute-24","cuteness_rating","cuteness","3","1902","1902"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","38","cute-11","cuteness_rating","cuteness","5","1983","1983"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","39","cute-44","cuteness_rating","cuteness","1","1835","1836"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","40","cute-49","cuteness_rating","cuteness","6","2754","2754"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","41","cute-45","cuteness_rating","cuteness","4","1585","1585"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","42","cute-47","cuteness_rating","cuteness","2","1854","1855"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","43","cute-14","cuteness_rating","cuteness","3","1728","1728"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","44","cute-41","cuteness_rating","cuteness","3","1552","1552"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","45","cute-10","cuteness_rating","cuteness","3","1308","1309"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","46","cute-04","cuteness_rating","cuteness","6","2082","2083"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","47","cute-22","cuteness_rating","cuteness","7","1623","1623"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","48","cute-20","cuteness_rating","cuteness","7","1399","1399"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","49","cute-19","cuteness_rating","cuteness","3","2553","2554"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","","","","stimulus","50","cute-43","cuteness_rating","cuteness","1","2831","2831"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","4","25045","26749"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","1","7453","8991"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","16482","17895"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","1","2468","3847"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","5","21485","22850"
"session-1777340870687-l572pd","20","여성","France","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","2","2788","4728"
