session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","1","neutral-42","cuteness_rating","cuteness","1","6096","6096"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","2","neutral-38","cuteness_rating","cuteness","2","5585","5585"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","3","neutral-03","cuteness_rating","cuteness","1","1870","1870"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","4","neutral-18","cuteness_rating","cuteness","1","1223","1223"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","5","neutral-34","cuteness_rating","cuteness","3","3309","3309"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","6","neutral-19","cuteness_rating","cuteness","4","5723","5723"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","7","neutral-10","cuteness_rating","cuteness","1","2121","2121"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","8","neutral-26","cuteness_rating","cuteness","1","3603","3603"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","9","neutral-25","cuteness_rating","cuteness","1","1371","1371"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","10","neutral-01","cuteness_rating","cuteness","3","2232","2232"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","11","neutral-15","cuteness_rating","cuteness","1","1505","1505"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","12","neutral-44","cuteness_rating","cuteness","1","1001","1001"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","13","neutral-21","cuteness_rating","cuteness","1","3359","3359"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","14","neutral-13","cuteness_rating","cuteness","1","1045","1045"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","15","neutral-05","cuteness_rating","cuteness","3","1867","1867"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","16","neutral-04","cuteness_rating","cuteness","2","3783","3783"
"session-1777340875735-ad1d0f","21","여성","United States","A","neutral:advantaged","server","","","","stimulus","17","neutral-28","cuteness_rating","cuteness","1","1428","1428"
