session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-41","cuteness_rating","cuteness","4","6764","6764"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-01","cuteness_rating","cuteness","3","4099","4099"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-20","cuteness_rating","cuteness","2","3502","3502"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-12","cuteness_rating","cuteness","2","1903","1904"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-29","cuteness_rating","cuteness","2","1661","1661"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-17","cuteness_rating","cuteness","2","1533","1533"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-50","cuteness_rating","cuteness","3","1484","1484"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-37","cuteness_rating","cuteness","3","1432","1432"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-27","cuteness_rating","cuteness","3","1036","1037"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-02","cuteness_rating","cuteness","3","1596","1596"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-08","cuteness_rating","cuteness","3","1116","1116"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-22","cuteness_rating","cuteness","2","2136","2136"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-09","cuteness_rating","cuteness","3","1166","1166"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-10","cuteness_rating","cuteness","3","3752","3752"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-43","cuteness_rating","cuteness","2","1497","1497"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-14","cuteness_rating","cuteness","2","3916","3916"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-36","cuteness_rating","cuteness","3","1533","1533"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-05","cuteness_rating","cuteness","3","1085","1085"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-32","cuteness_rating","cuteness","3","1615","1616"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-03","cuteness_rating","cuteness","3","1216","1216"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-19","cuteness_rating","cuteness","3","1417","1417"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-13","cuteness_rating","cuteness","2","1416","1417"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-15","cuteness_rating","cuteness","3","1249","1249"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-48","cuteness_rating","cuteness","2","1850","1850"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-44","cuteness_rating","cuteness","3","2133","2134"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-07","cuteness_rating","cuteness","3","1033","1033"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-23","cuteness_rating","cuteness","2","1733","1733"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-33","cuteness_rating","cuteness","3","1333","1333"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-38","cuteness_rating","cuteness","2","1600","1600"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-04","cuteness_rating","cuteness","3","1303","1303"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-42","cuteness_rating","cuteness","3","1714","1714"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-11","cuteness_rating","cuteness","2","2384","2384"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-16","cuteness_rating","cuteness","3","1618","1618"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-21","cuteness_rating","cuteness","3","1214","1214"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-25","cuteness_rating","cuteness","3","1234","1234"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-34","cuteness_rating","cuteness","3","1166","1166"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-24","cuteness_rating","cuteness","3","1667","1667"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-18","cuteness_rating","cuteness","6","2633","2633"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-35","cuteness_rating","cuteness","2","1635","1635"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-31","cuteness_rating","cuteness","6","1798","1799"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-49","cuteness_rating","cuteness","5","2949","2949"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-28","cuteness_rating","cuteness","6","2584","2585"
"session-1777340877043-3i3mld","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-47","cuteness_rating","cuteness","3","3998","3998"
