session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-30","cuteness_rating","cuteness","1","3441","3442"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-40","cuteness_rating","cuteness","1","1413","1413"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-07","cuteness_rating","cuteness","1","2006","2006"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-22","cuteness_rating","cuteness","1","1632","1632"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-17","cuteness_rating","cuteness","2","2899","2899"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-16","cuteness_rating","cuteness","1","1751","1751"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-20","cuteness_rating","cuteness","1","3010","3010"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-39","cuteness_rating","cuteness","1","1226","1226"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-44","cuteness_rating","cuteness","1","700","701"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-46","cuteness_rating","cuteness","1","590","590"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-25","cuteness_rating","cuteness","1","992","992"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-09","cuteness_rating","cuteness","1","716","716"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-01","cuteness_rating","cuteness","2","1730","1730"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-35","cuteness_rating","cuteness","1","1067","1067"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-29","cuteness_rating","cuteness","1","971","971"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-48","cuteness_rating","cuteness","1","616","616"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-45","cuteness_rating","cuteness","1","925","925"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-38","cuteness_rating","cuteness","1","1007","1007"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-47","cuteness_rating","cuteness","1","643","643"
"session-1777340891878-zyf6a6","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-13","cuteness_rating","cuteness","1","917","917"
