session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-48","cuteness_rating","cuteness","1","4287","4287"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-24","cuteness_rating","cuteness","1","3933","3933"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-33","cuteness_rating","cuteness","1","2417","2417"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-20","cuteness_rating","cuteness","2","2800","2800"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-28","cuteness_rating","cuteness","2","3917","3917"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-36","cuteness_rating","cuteness","2","3383","3383"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-12","cuteness_rating","cuteness","1","1617","1617"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-44","cuteness_rating","cuteness","1","1650","1650"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-25","cuteness_rating","cuteness","3","2133","2133"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-02","cuteness_rating","cuteness","2","5067","5067"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-39","cuteness_rating","cuteness","3","3500","3500"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-23","cuteness_rating","cuteness","2","3250","3250"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-18","cuteness_rating","cuteness","1","2000","2000"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-46","cuteness_rating","cuteness","4","2467","2467"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-50","cuteness_rating","cuteness","3","2450","2450"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-43","cuteness_rating","cuteness","4","3033","3033"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-13","cuteness_rating","cuteness","1","1484","1484"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-01","cuteness_rating","cuteness","2","3133","3133"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-16","cuteness_rating","cuteness","2","3833","3833"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-22","cuteness_rating","cuteness","2","5850","5850"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-21","cuteness_rating","cuteness","1","1233","1233"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-19","cuteness_rating","cuteness","2","3533","3533"
"session-1777340894014-mtt5g2","22","여성","중국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-34","cuteness_rating","cuteness","1","4017","4017"
