session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-36","cuteness_rating","cuteness","5","2486","2486"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-40","cuteness_rating","cuteness","5","1999","1999"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-45","cuteness_rating","cuteness","7","2117","2117"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-03","cuteness_rating","cuteness","7","2402","2402"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-22","cuteness_rating","cuteness","7","808","809"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-07","cuteness_rating","cuteness","7","2930","2930"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-48","cuteness_rating","cuteness","3","1897","1897"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-28","cuteness_rating","cuteness","6","1155","1155"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-46","cuteness_rating","cuteness","2","1400","1400"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-50","cuteness_rating","cuteness","5","1500","1500"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-30","cuteness_rating","cuteness","4","1472","1472"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-01","cuteness_rating","cuteness","7","1748","1748"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-47","cuteness_rating","cuteness","7","2214","2214"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-09","cuteness_rating","cuteness","3","1813","1813"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-27","cuteness_rating","cuteness","3","1446","1446"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-33","cuteness_rating","cuteness","3","1065","1065"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-25","cuteness_rating","cuteness","7","1414","1414"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-38","cuteness_rating","cuteness","3","1557","1557"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-35","cuteness_rating","cuteness","3","1009","1009"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-11","cuteness_rating","cuteness","3","982","982"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-20","cuteness_rating","cuteness","7","1293","1293"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-10","cuteness_rating","cuteness","3","1353","1353"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-43","cuteness_rating","cuteness","7","1248","1248"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-42","cuteness_rating","cuteness","5","1586","1586"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-14","cuteness_rating","cuteness","3","1198","1198"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-06","cuteness_rating","cuteness","6","1044","1044"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-12","cuteness_rating","cuteness","3","1192","1192"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-15","cuteness_rating","cuteness","7","1050","1050"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-18","cuteness_rating","cuteness","7","1017","1017"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-29","cuteness_rating","cuteness","2","1386","1387"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-49","cuteness_rating","cuteness","6","1417","1417"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-44","cuteness_rating","cuteness","6","1277","1277"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-19","cuteness_rating","cuteness","7","2701","2701"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-32","cuteness_rating","cuteness","2","1284","1284"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-16","cuteness_rating","cuteness","7","1176","1176"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-21","cuteness_rating","cuteness","3","1463","1463"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-08","cuteness_rating","cuteness","3","1173","1174"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-04","cuteness_rating","cuteness","4","1757","1757"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-05","cuteness_rating","cuteness","5","1673","1673"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-26","cuteness_rating","cuteness","1","2155","2155"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-37","cuteness_rating","cuteness","2","1380","1380"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-31","cuteness_rating","cuteness","2","775","775"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-23","cuteness_rating","cuteness","7","1213","1213"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-39","cuteness_rating","cuteness","3","1235","1235"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-02","cuteness_rating","cuteness","7","1298","1298"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","46","cute-24","cuteness_rating","cuteness","7","641","641"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","47","cute-41","cuteness_rating","cuteness","3","1255","1255"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","48","cute-34","cuteness_rating","cuteness","3","1029","1029"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","49","cute-13","cuteness_rating","cuteness","3","623","624"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","50","cute-17","cuteness_rating","cuteness","6","1090","1090"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","10918","11723"
"session-1777340895312-hqlsgi","19","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","6","2059","2793"
