session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-15","cuteness_rating","cuteness","7","3164","3164"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-04","cuteness_rating","cuteness","7","1065","1065"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-23","cuteness_rating","cuteness","7","1134","1134"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-13","cuteness_rating","cuteness","7","848","848"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-09","cuteness_rating","cuteness","7","546","546"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-29","cuteness_rating","cuteness","7","637","637"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-50","cuteness_rating","cuteness","7","647","647"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-07","cuteness_rating","cuteness","7","939","939"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-37","cuteness_rating","cuteness","7","3696","3696"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-21","cuteness_rating","cuteness","","","7011"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-26","cuteness_rating","cuteness","","","7006"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-30","cuteness_rating","cuteness","7","4020","4020"
"session-1777340902653-9rgk7q","23","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-36","cuteness_rating","cuteness","7","916","916"
