session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-09","cuteness_rating","cuteness","2","6298","6298"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-35","cuteness_rating","cuteness","2","2269","2269"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-42","cuteness_rating","cuteness","1","2742","2743"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-03","cuteness_rating","cuteness","1","1302","1302"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-39","cuteness_rating","cuteness","1","1269","1270"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-31","cuteness_rating","cuteness","3","2289","2289"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-36","cuteness_rating","cuteness","1","1884","1885"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-33","cuteness_rating","cuteness","1","1277","1277"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-47","cuteness_rating","cuteness","1","1020","1020"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-12","cuteness_rating","cuteness","1","1463","1463"
"session-1777340926294-d8w9mh","22","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-44","cuteness_rating","cuteness","2","2207","2207"
