session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-09","cuteness_rating","cuteness","1","2814","2814"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-18","cuteness_rating","cuteness","1","913","913"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-38","cuteness_rating","cuteness","1","756","757"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-43","cuteness_rating","cuteness","1","859","859"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-20","cuteness_rating","cuteness","1","788","788"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-23","cuteness_rating","cuteness","2","1834","1834"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-31","cuteness_rating","cuteness","1","733","733"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-46","cuteness_rating","cuteness","1","965","965"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-19","cuteness_rating","cuteness","3","2268","2268"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-24","cuteness_rating","cuteness","1","1318","1318"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-28","cuteness_rating","cuteness","1","1336","1336"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-37","cuteness_rating","cuteness","1","930","930"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-32","cuteness_rating","cuteness","1","1360","1360"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-48","cuteness_rating","cuteness","2","1343","1343"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-21","cuteness_rating","cuteness","1","750","750"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-34","cuteness_rating","cuteness","1","1066","1066"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-30","cuteness_rating","cuteness","1","723","724"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-41","cuteness_rating","cuteness","1","483","483"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-36","cuteness_rating","cuteness","1","1316","1317"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-42","cuteness_rating","cuteness","1","667","667"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-14","cuteness_rating","cuteness","1","470","470"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-17","cuteness_rating","cuteness","1","654","654"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-10","cuteness_rating","cuteness","1","1997","1997"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-15","cuteness_rating","cuteness","1","628","628"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-08","cuteness_rating","cuteness","1","472","472"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-16","cuteness_rating","cuteness","1","444","444"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-39","cuteness_rating","cuteness","1","487","487"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-11","cuteness_rating","cuteness","1","533","534"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-22","cuteness_rating","cuteness","1","1679","1679"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-06","cuteness_rating","cuteness","3","1434","1434"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-26","cuteness_rating","cuteness","2","1258","1258"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-25","cuteness_rating","cuteness","1","664","664"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-03","cuteness_rating","cuteness","1","883","883"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-04","cuteness_rating","cuteness","1","1035","1035"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-40","cuteness_rating","cuteness","1","830","830"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-13","cuteness_rating","cuteness","1","562","562"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-01","cuteness_rating","cuteness","1","484","484"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-27","cuteness_rating","cuteness","1","1619","1620"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-33","cuteness_rating","cuteness","1","656","657"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-35","cuteness_rating","cuteness","1","613","613"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-49","cuteness_rating","cuteness","1","1270","1270"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-02","cuteness_rating","cuteness","1","544","544"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-44","cuteness_rating","cuteness","1","520","520"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-47","cuteness_rating","cuteness","1","676","676"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-05","cuteness_rating","cuteness","1","583","583"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-50","cuteness_rating","cuteness","1","3100","3100"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-29","cuteness_rating","cuteness","1","517","518"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-07","cuteness_rating","cuteness","1","439","439"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-12","cuteness_rating","cuteness","1","427","427"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","50","neutral-45","cuteness_rating","cuteness","1","516","516"
"session-1777340939015-yc76gs","24","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","1","26749","29032"
