session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-13","cuteness_rating","cuteness","2","3079","3079"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-26","cuteness_rating","cuteness","3","1808","1809"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-43","cuteness_rating","cuteness","1","1224","1224"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-30","cuteness_rating","cuteness","1","1090","1090"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-42","cuteness_rating","cuteness","1","1180","1180"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-11","cuteness_rating","cuteness","1","1025","1025"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-45","cuteness_rating","cuteness","1","1131","1131"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-17","cuteness_rating","cuteness","1","1329","1329"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-15","cuteness_rating","cuteness","1","1191","1192"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-05","cuteness_rating","cuteness","2","1748","1748"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-36","cuteness_rating","cuteness","3","1534","1534"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-24","cuteness_rating","cuteness","3","1378","1378"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-10","cuteness_rating","cuteness","3","1408","1408"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-02","cuteness_rating","cuteness","1","914","914"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-40","cuteness_rating","cuteness","1","1290","1290"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-41","cuteness_rating","cuteness","3","1323","1323"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-25","cuteness_rating","cuteness","1","964","964"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-37","cuteness_rating","cuteness","1","2104","2105"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-18","cuteness_rating","cuteness","1","2043","2043"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-01","cuteness_rating","cuteness","4","1864","1864"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-03","cuteness_rating","cuteness","2","2124","2124"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-31","cuteness_rating","cuteness","1","1264","1264"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-27","cuteness_rating","cuteness","5","1213","1213"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-20","cuteness_rating","cuteness","1","1313","1313"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-29","cuteness_rating","cuteness","1","1042","1042"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-32","cuteness_rating","cuteness","2","1518","1518"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-21","cuteness_rating","cuteness","4","1599","1599"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-38","cuteness_rating","cuteness","1","913","913"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-19","cuteness_rating","cuteness","5","2375","2376"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-47","cuteness_rating","cuteness","1","929","929"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-06","cuteness_rating","cuteness","1","832","832"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-07","cuteness_rating","cuteness","6","1515","1515"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-49","cuteness_rating","cuteness","5","1382","1382"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-23","cuteness_rating","cuteness","1","999","999"
"session-1777340953419-tr36tk","23","여성","미국, 대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-22","cuteness_rating","cuteness","5","1639","1639"
