session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-24","cuteness_rating","cuteness","2","5516","5516"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-07","cuteness_rating","cuteness","5","4793","4793"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-12","cuteness_rating","cuteness","","","7006"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-20","cuteness_rating","cuteness","5","1900","1900"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-35","cuteness_rating","cuteness","3","3455","3456"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-13","cuteness_rating","cuteness","6","4370","4371"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-43","cuteness_rating","cuteness","2","1634","1634"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-26","cuteness_rating","cuteness","2","1649","1649"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-09","cuteness_rating","cuteness","6","2189","2190"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-40","cuteness_rating","cuteness","4","1416","1416"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-33","cuteness_rating","cuteness","3","1225","1226"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-15","cuteness_rating","cuteness","3","1731","1731"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-41","cuteness_rating","cuteness","3","1554","1554"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-18","cuteness_rating","cuteness","5","1518","1518"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-04","cuteness_rating","cuteness","4","1928","1928"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-22","cuteness_rating","cuteness","5","1211","1211"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-36","cuteness_rating","cuteness","3","1275","1275"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-48","cuteness_rating","cuteness","1","1177","1177"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-06","cuteness_rating","cuteness","4","1686","1686"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-02","cuteness_rating","cuteness","3","1751","1751"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-19","cuteness_rating","cuteness","3","1305","1305"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-28","cuteness_rating","cuteness","2","1220","1220"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-30","cuteness_rating","cuteness","4","1368","1368"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-38","cuteness_rating","cuteness","4","1374","1374"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-31","cuteness_rating","cuteness","5","1044","1044"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-37","cuteness_rating","cuteness","3","1808","1808"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-42","cuteness_rating","cuteness","1","1339","1339"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-08","cuteness_rating","cuteness","3","1342","1342"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-49","cuteness_rating","cuteness","1","1217","1217"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-50","cuteness_rating","cuteness","1","981","981"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-05","cuteness_rating","cuteness","2","1220","1220"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-14","cuteness_rating","cuteness","3","1226","1227"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-46","cuteness_rating","cuteness","1","992","992"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-11","cuteness_rating","cuteness","3","1261","1262"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-25","cuteness_rating","cuteness","4","2985","2985"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-10","cuteness_rating","cuteness","1","1200","1201"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-01","cuteness_rating","cuteness","5","1619","1619"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-44","cuteness_rating","cuteness","2","1483","1483"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-23","cuteness_rating","cuteness","5","1368","1368"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-16","cuteness_rating","cuteness","6","1643","1643"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-21","cuteness_rating","cuteness","5","1344","1344"
"session-1777340962858-th09z2","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-03","cuteness_rating","cuteness","6","2751","2752"
