session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-29","cuteness_rating","cuteness","7","2638","2638"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-25","cuteness_rating","cuteness","7","1263","1263"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-09","cuteness_rating","cuteness","7","2116","2116"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-12","cuteness_rating","cuteness","7","1339","1339"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-32","cuteness_rating","cuteness","6","2622","2622"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-41","cuteness_rating","cuteness","5","2677","2677"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-35","cuteness_rating","cuteness","7","2103","2103"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-46","cuteness_rating","cuteness","6","3738","3738"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-50","cuteness_rating","cuteness","7","1872","1872"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-36","cuteness_rating","cuteness","7","1097","1097"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-20","cuteness_rating","cuteness","7","977","977"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-22","cuteness_rating","cuteness","7","868","869"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-27","cuteness_rating","cuteness","7","1138","1138"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-28","cuteness_rating","cuteness","7","1777","1777"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-40","cuteness_rating","cuteness","7","1045","1045"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-49","cuteness_rating","cuteness","7","1668","1669"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-07","cuteness_rating","cuteness","7","844","844"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-39","cuteness_rating","cuteness","6","2272","2272"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-19","cuteness_rating","cuteness","7","1514","1514"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-06","cuteness_rating","cuteness","7","923","923"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-47","cuteness_rating","cuteness","4","3157","3157"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-02","cuteness_rating","cuteness","7","3423","3423"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-45","cuteness_rating","cuteness","4","2409","2409"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-44","cuteness_rating","cuteness","4","1487","1487"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-30","cuteness_rating","cuteness","5","2480","2480"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-34","cuteness_rating","cuteness","5","1946","1946"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-42","cuteness_rating","cuteness","7","1560","1560"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-14","cuteness_rating","cuteness","7","1452","1452"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-08","cuteness_rating","cuteness","7","903","903"
"session-1777340989101-ogi1sz","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-16","cuteness_rating","cuteness","7","1111","1111"
