session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","1","cute-02","cuteness_rating","cuteness","6","4052","4052"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","2","cute-01","cuteness_rating","cuteness","7","1328","1328"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","3","cute-23","cuteness_rating","cuteness","6","1087","1087"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","4","cute-15","cuteness_rating","cuteness","7","977","978"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","5","cute-12","cuteness_rating","cuteness","4","2594","2594"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","6","cute-03","cuteness_rating","cuteness","6","1318","1318"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","7","cute-04","cuteness_rating","cuteness","6","1274","1274"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","8","cute-48","cuteness_rating","cuteness","3","1500","1501"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","9","cute-36","cuteness_rating","cuteness","2","1412","1412"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","10","cute-43","cuteness_rating","cuteness","5","1774","1774"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","11","cute-28","cuteness_rating","cuteness","6","1197","1197"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","12","cute-19","cuteness_rating","cuteness","6","1069","1069"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","13","cute-31","cuteness_rating","cuteness","3","1300","1300"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","14","cute-14","cuteness_rating","cuteness","3","1261","1261"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","15","cute-05","cuteness_rating","cuteness","4","1076","1076"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","16","cute-16","cuteness_rating","cuteness","5","900","901"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","17","cute-06","cuteness_rating","cuteness","6","1667","1667"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","18","cute-50","cuteness_rating","cuteness","6","1265","1265"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","19","cute-39","cuteness_rating","cuteness","5","1825","1825"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","20","cute-37","cuteness_rating","cuteness","4","1554","1554"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","21","cute-42","cuteness_rating","cuteness","3","2265","2265"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","22","cute-10","cuteness_rating","cuteness","2","1218","1218"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","23","cute-41","cuteness_rating","cuteness","1","1099","1099"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","24","cute-33","cuteness_rating","cuteness","2","1401","1401"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","25","cute-30","cuteness_rating","cuteness","2","1215","1215"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","26","cute-29","cuteness_rating","cuteness","1","2318","2318"
"session-1777341020797-wko8t5","21","여성","Australian","B","cute:advantaged","server","","","","stimulus","27","cute-46","cuteness_rating","cuteness","5","1448","1448"
