session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","1","cute-20","cuteness_rating","cuteness","4","1961","1961"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","2","cute-09","cuteness_rating","cuteness","2","3031","3031"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","3","cute-44","cuteness_rating","cuteness","4","1417","1417"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","4","cute-33","cuteness_rating","cuteness","2","1100","1100"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","5","cute-04","cuteness_rating","cuteness","5","1300","1300"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","6","cute-10","cuteness_rating","cuteness","2","1999","1999"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","7","cute-31","cuteness_rating","cuteness","2","1000","1000"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","8","cute-18","cuteness_rating","cuteness","5","1251","1252"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","9","cute-30","cuteness_rating","cuteness","2","1068","1069"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","10","cute-24","cuteness_rating","cuteness","5","1764","1764"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","11","cute-17","cuteness_rating","cuteness","5","766","766"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","12","cute-40","cuteness_rating","cuteness","5","899","899"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","13","cute-21","cuteness_rating","cuteness","5","699","699"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","14","cute-37","cuteness_rating","cuteness","5","600","600"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","15","cute-50","cuteness_rating","cuteness","5","184","184"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","16","cute-46","cuteness_rating","cuteness","6","801","801"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","17","cute-45","cuteness_rating","cuteness","6","1483","1483"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","18","cute-12","cuteness_rating","cuteness","6","466","466"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","19","cute-19","cuteness_rating","cuteness","6","433","433"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","20","cute-22","cuteness_rating","cuteness","6","351","351"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","21","cute-42","cuteness_rating","cuteness","7","821","821"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","22","cute-26","cuteness_rating","cuteness","7","466","466"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","23","cute-28","cuteness_rating","cuteness","6","1296","1296"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","24","cute-48","cuteness_rating","cuteness","6","382","382"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","25","cute-01","cuteness_rating","cuteness","6","786","786"
"session-1777341034513-99wuux","23","여성","중국","B","cute:advantaged","server","","","","stimulus","26","cute-15","cuteness_rating","cuteness","6","417","417"
