session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","1","neutral-01","cuteness_rating","cuteness","4","2664","2664"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","2","neutral-02","cuteness_rating","cuteness","3","1983","1983"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","3","neutral-50","cuteness_rating","cuteness","5","1567","1567"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","4","neutral-32","cuteness_rating","cuteness","4","1716","1717"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","5","neutral-40","cuteness_rating","cuteness","5","1600","1601"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","6","neutral-33","cuteness_rating","cuteness","2","2099","2099"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","7","neutral-15","cuteness_rating","cuteness","7","2966","2966"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","8","neutral-04","cuteness_rating","cuteness","4","1516","1517"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","9","neutral-12","cuteness_rating","cuteness","3","2267","2267"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","10","neutral-45","cuteness_rating","cuteness","3","1900","1900"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","11","neutral-49","cuteness_rating","cuteness","7","3850","3850"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","12","neutral-27","cuteness_rating","cuteness","3","1901","1901"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","13","neutral-34","cuteness_rating","cuteness","3","2715","2715"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","14","neutral-43","cuteness_rating","cuteness","4","1433","1433"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","15","neutral-18","cuteness_rating","cuteness","2","1801","1801"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","16","neutral-38","cuteness_rating","cuteness","2","2033","2033"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","17","neutral-31","cuteness_rating","cuteness","2","1833","1833"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","18","neutral-13","cuteness_rating","cuteness","6","2182","2182"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","19","neutral-11","cuteness_rating","cuteness","4","1568","1568"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","20","neutral-05","cuteness_rating","cuteness","3","1100","1100"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","21","neutral-17","cuteness_rating","cuteness","3","1334","1334"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","22","neutral-36","cuteness_rating","cuteness","3","1416","1416"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","23","neutral-14","cuteness_rating","cuteness","4","1900","1900"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","24","neutral-28","cuteness_rating","cuteness","5","1951","1951"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","25","neutral-23","cuteness_rating","cuteness","4","1232","1232"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","26","neutral-20","cuteness_rating","cuteness","2","1683","1684"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","27","neutral-09","cuteness_rating","cuteness","3","1916","1916"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","28","neutral-22","cuteness_rating","cuteness","5","2383","2383"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","29","neutral-25","cuteness_rating","cuteness","4","1767","1767"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","30","neutral-30","cuteness_rating","cuteness","3","1700","1700"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","31","neutral-42","cuteness_rating","cuteness","3","1833","1833"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","32","neutral-46","cuteness_rating","cuteness","4","1268","1268"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","33","neutral-16","cuteness_rating","cuteness","4","2800","2800"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","34","neutral-29","cuteness_rating","cuteness","3","6383","6383"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","35","neutral-19","cuteness_rating","cuteness","4","2017","2017"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","36","neutral-08","cuteness_rating","cuteness","4","1133","1133"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","37","neutral-35","cuteness_rating","cuteness","4","1399","1399"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","38","neutral-48","cuteness_rating","cuteness","5","1332","1332"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","39","neutral-41","cuteness_rating","cuteness","3","2869","2869"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","40","neutral-07","cuteness_rating","cuteness","6","3134","3134"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","41","neutral-06","cuteness_rating","cuteness","3","1316","1316"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","42","neutral-47","cuteness_rating","cuteness","4","1950","1950"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","43","neutral-37","cuteness_rating","cuteness","4","1716","1716"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","44","neutral-03","cuteness_rating","cuteness","3","1833","1833"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","45","neutral-39","cuteness_rating","cuteness","5","1250","1250"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","46","neutral-10","cuteness_rating","cuteness","5","950","950"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","47","neutral-44","cuteness_rating","cuteness","3","1601","1601"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","48","neutral-26","cuteness_rating","cuteness","5","1217","1217"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","49","neutral-21","cuteness_rating","cuteness","3","1283","1283"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","","","","stimulus","50","neutral-24","cuteness_rating","cuteness","2","1466","1466"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","1","39650","42001"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","1","9600","10365"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","31602","35001"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","6","13751","15500"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","4","40899","41815"
"session-1777341175965-p3h3w5","19","여성","중국본토","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","6","1535","2234"
