session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-15","cuteness_rating","cuteness","4","4542","4543"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-36","cuteness_rating","cuteness","5","2700","2700"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-25","cuteness_rating","cuteness","7","2655","2655"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-31","cuteness_rating","cuteness","7","1831","1831"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-29","cuteness_rating","cuteness","7","1701","1701"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-44","cuteness_rating","cuteness","3","1813","1814"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-07","cuteness_rating","cuteness","4","1555","1555"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-08","cuteness_rating","cuteness","7","1281","1281"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-42","cuteness_rating","cuteness","1","2739","2739"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-48","cuteness_rating","cuteness","1","1716","1717"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-27","cuteness_rating","cuteness","5","1860","1860"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-11","cuteness_rating","cuteness","7","1484","1484"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-18","cuteness_rating","cuteness","6","1589","1589"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-01","cuteness_rating","cuteness","7","1325","1325"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-39","cuteness_rating","cuteness","7","1937","1937"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-22","cuteness_rating","cuteness","4","1583","1583"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-41","cuteness_rating","cuteness","7","1244","1244"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-21","cuteness_rating","cuteness","4","4567","4567"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-03","cuteness_rating","cuteness","4","1743","1743"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-19","cuteness_rating","cuteness","5","1498","1498"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-37","cuteness_rating","cuteness","7","1252","1252"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-45","cuteness_rating","cuteness","4","1266","1266"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-23","cuteness_rating","cuteness","7","1577","1577"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-46","cuteness_rating","cuteness","1","1386","1386"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-10","cuteness_rating","cuteness","6","1321","1321"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-43","cuteness_rating","cuteness","1","1090","1090"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-28","cuteness_rating","cuteness","5","1640","1640"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-20","cuteness_rating","cuteness","6","5153","5153"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-12","cuteness_rating","cuteness","7","916","916"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-38","cuteness_rating","cuteness","7","794","794"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-40","cuteness_rating","cuteness","7","899","899"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-24","cuteness_rating","cuteness","5","2286","2286"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-06","cuteness_rating","cuteness","6","1077","1078"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-05","cuteness_rating","cuteness","6","1077","1077"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-17","cuteness_rating","cuteness","7","1617","1617"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-35","cuteness_rating","cuteness","7","1067","1067"
"session-1777364235370-ucqz8f","28","남성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-16","cuteness_rating","cuteness","5","1529","1529"
