session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-35","cuteness_rating","cuteness","1","2076","2077"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-30","cuteness_rating","cuteness","1","993","993"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-22","cuteness_rating","cuteness","1","1074","1074"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-28","cuteness_rating","cuteness","1","1057","1057"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-23","cuteness_rating","cuteness","1","825","825"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-02","cuteness_rating","cuteness","1","1023","1023"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-32","cuteness_rating","cuteness","1","1025","1025"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-21","cuteness_rating","cuteness","1","1073","1073"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-39","cuteness_rating","cuteness","1","1846","1846"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-33","cuteness_rating","cuteness","1","1419","1419"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-24","cuteness_rating","cuteness","1","564","564"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-49","cuteness_rating","cuteness","1","909","910"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-41","cuteness_rating","cuteness","1","807","807"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-20","cuteness_rating","cuteness","1","551","551"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-07","cuteness_rating","cuteness","1","823","823"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-11","cuteness_rating","cuteness","1","1309","1309"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-03","cuteness_rating","cuteness","1","597","597"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-34","cuteness_rating","cuteness","1","607","607"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-04","cuteness_rating","cuteness","1","569","569"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-47","cuteness_rating","cuteness","1","492","492"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-12","cuteness_rating","cuteness","1","533","533"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-38","cuteness_rating","cuteness","1","541","541"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-01","cuteness_rating","cuteness","1","691","691"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-43","cuteness_rating","cuteness","1","2298","2299"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-42","cuteness_rating","cuteness","1","1383","1383"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-08","cuteness_rating","cuteness","1","1492","1492"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-44","cuteness_rating","cuteness","1","814","814"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-13","cuteness_rating","cuteness","1","1034","1034"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-15","cuteness_rating","cuteness","1","544","545"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-36","cuteness_rating","cuteness","1","571","571"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-18","cuteness_rating","cuteness","3","2449","2449"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-29","cuteness_rating","cuteness","1","916","916"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-50","cuteness_rating","cuteness","1","932","932"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-27","cuteness_rating","cuteness","1","600","600"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-06","cuteness_rating","cuteness","1","898","898"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-25","cuteness_rating","cuteness","1","574","574"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-10","cuteness_rating","cuteness","1","1201","1201"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-05","cuteness_rating","cuteness","1","649","649"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-45","cuteness_rating","cuteness","1","925","925"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-26","cuteness_rating","cuteness","1","566","566"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-19","cuteness_rating","cuteness","1","1299","1299"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-17","cuteness_rating","cuteness","1","977","977"
"session-1777364910163-n796z5","29","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-46","cuteness_rating","cuteness","1","713","713"
