session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-47","cuteness_rating","cuteness","1","1836","1836"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-26","cuteness_rating","cuteness","1","985","985"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-24","cuteness_rating","cuteness","1","667","667"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-04","cuteness_rating","cuteness","1","700","700"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-30","cuteness_rating","cuteness","1","634","634"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-33","cuteness_rating","cuteness","1","516","516"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-29","cuteness_rating","cuteness","1","383","385"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-45","cuteness_rating","cuteness","1","1046","1046"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-23","cuteness_rating","cuteness","1","850","850"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-38","cuteness_rating","cuteness","1","450","450"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-18","cuteness_rating","cuteness","1","584","584"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-20","cuteness_rating","cuteness","1","466","466"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-19","cuteness_rating","cuteness","1","234","234"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-15","cuteness_rating","cuteness","1","567","567"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-12","cuteness_rating","cuteness","1","132","132"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-02","cuteness_rating","cuteness","1","1367","1367"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-11","cuteness_rating","cuteness","1","384","384"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-28","cuteness_rating","cuteness","1","2003","2003"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-09","cuteness_rating","cuteness","1","849","849"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-22","cuteness_rating","cuteness","1","214","214"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-21","cuteness_rating","cuteness","1","1033","1033"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-40","cuteness_rating","cuteness","1","867","868"
"session-1777365211663-3jteo3","23","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-16","cuteness_rating","cuteness","1","583","583"
