session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","1","cute-31","cuteness_rating","cuteness","6","2640","2641"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","2","cute-35","cuteness_rating","cuteness","6","1223","1224"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","3","cute-30","cuteness_rating","cuteness","5","1586","1586"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","4","cute-04","cuteness_rating","cuteness","5","1694","1694"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","5","cute-46","cuteness_rating","cuteness","3","1335","1335"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","6","cute-12","cuteness_rating","cuteness","5","2369","2369"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","7","cute-17","cuteness_rating","cuteness","6","1397","1398"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","8","cute-44","cuteness_rating","cuteness","4","1282","1282"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","9","cute-28","cuteness_rating","cuteness","5","1337","1338"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","10","cute-40","cuteness_rating","cuteness","5","2012","2013"
"session-1777365568892-ixboz6","25","여성","대한민구","B","cute:disadvantaged","server","","","","stimulus","11","cute-08","cuteness_rating","cuteness","5","1263","1263"
