session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","1","neutral-49","cuteness_rating","cuteness","","","7004"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","2","neutral-11","cuteness_rating","cuteness","4","239","240"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","3","neutral-09","cuteness_rating","cuteness","3","3997","3997"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","4","neutral-01","cuteness_rating","cuteness","4","2693","2694"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","5","neutral-24","cuteness_rating","cuteness","3","1941","1941"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","6","neutral-15","cuteness_rating","cuteness","2","2960","2960"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","7","neutral-42","cuteness_rating","cuteness","1","1488","1488"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","8","neutral-23","cuteness_rating","cuteness","1","1155","1156"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","9","neutral-43","cuteness_rating","cuteness","3","1286","1286"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","10","neutral-48","cuteness_rating","cuteness","4","1022","1022"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","11","neutral-29","cuteness_rating","cuteness","3","1487","1487"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","12","neutral-30","cuteness_rating","cuteness","4","686","686"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","13","neutral-17","cuteness_rating","cuteness","5","736","736"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","14","neutral-16","cuteness_rating","cuteness","4","636","636"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","15","neutral-35","cuteness_rating","cuteness","3","1120","1120"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","16","neutral-22","cuteness_rating","cuteness","3","803","803"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","17","neutral-38","cuteness_rating","cuteness","4","803","803"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","18","neutral-40","cuteness_rating","cuteness","3","753","753"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","19","neutral-25","cuteness_rating","cuteness","4","638","639"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","20","neutral-18","cuteness_rating","cuteness","4","1318","1318"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","21","neutral-13","cuteness_rating","cuteness","4","637","637"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","22","neutral-10","cuteness_rating","cuteness","5","801","801"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","23","neutral-39","cuteness_rating","cuteness","4","904","904"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","24","neutral-41","cuteness_rating","cuteness","4","1372","1372"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","25","neutral-28","cuteness_rating","cuteness","4","920","920"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","26","neutral-27","cuteness_rating","cuteness","3","835","835"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","27","neutral-21","cuteness_rating","cuteness","3","971","971"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","28","neutral-36","cuteness_rating","cuteness","3","636","636"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","29","neutral-19","cuteness_rating","cuteness","3","752","752"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","30","neutral-12","cuteness_rating","cuteness","3","587","587"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","31","neutral-37","cuteness_rating","cuteness","3","636","636"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","32","neutral-32","cuteness_rating","cuteness","3","600","600"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","33","neutral-20","cuteness_rating","cuteness","4","1505","1505"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","34","neutral-33","cuteness_rating","cuteness","3","1142","1142"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","35","neutral-14","cuteness_rating","cuteness","4","664","664"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","36","neutral-05","cuteness_rating","cuteness","4","854","854"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","37","neutral-46","cuteness_rating","cuteness","4","1037","1037"
"session-1777368373765-b46li8","28","남성","중국","A","neutral:advantaged","server","","","","stimulus","38","neutral-45","cuteness_rating","cuteness","3","657","657"
