session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-18","cuteness_rating","cuteness","6","4626","4627"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-19","cuteness_rating","cuteness","6","1564","1564"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-04","cuteness_rating","cuteness","6","1098","1098"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-27","cuteness_rating","cuteness","7","996","996"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-14","cuteness_rating","cuteness","6","1370","1370"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-15","cuteness_rating","cuteness","3","1413","1413"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-11","cuteness_rating","cuteness","5","1648","1650"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-06","cuteness_rating","cuteness","5","1216","1216"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-37","cuteness_rating","cuteness","6","1915","1915"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-16","cuteness_rating","cuteness","7","1349","1349"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-23","cuteness_rating","cuteness","7","1264","1264"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-35","cuteness_rating","cuteness","6","1280","1280"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-32","cuteness_rating","cuteness","2","1951","1951"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-47","cuteness_rating","cuteness","6","1483","1483"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-45","cuteness_rating","cuteness","5","1281","1281"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-01","cuteness_rating","cuteness","6","1265","1265"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-25","cuteness_rating","cuteness","7","968","969"
"session-1777369451111-ocycv5","33","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-21","cuteness_rating","cuteness","6","929","929"
