session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-24","cuteness_rating","cuteness","5","2312","2313"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-12","cuteness_rating","cuteness","7","1649","1649"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-40","cuteness_rating","cuteness","6","1117","1117"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-37","cuteness_rating","cuteness","5","1483","1483"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-20","cuteness_rating","cuteness","4","1752","1752"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-27","cuteness_rating","cuteness","5","1516","1516"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-46","cuteness_rating","cuteness","3","1583","1584"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-32","cuteness_rating","cuteness","5","2317","2317"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-28","cuteness_rating","cuteness","4","1283","1283"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-05","cuteness_rating","cuteness","5","1467","1467"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-09","cuteness_rating","cuteness","6","1567","1567"
"session-1777377671301-z1n2xm","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-06","cuteness_rating","cuteness","6","2317","2317"
