session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-30","cuteness_rating","cuteness","1","3135","3135"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-47","cuteness_rating","cuteness","1","1067","1067"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-06","cuteness_rating","cuteness","1","1018","1018"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-27","cuteness_rating","cuteness","1","710","710"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-48","cuteness_rating","cuteness","1","610","610"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-44","cuteness_rating","cuteness","1","617","617"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-15","cuteness_rating","cuteness","1","942","942"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-04","cuteness_rating","cuteness","1","1677","1677"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-46","cuteness_rating","cuteness","1","676","676"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-33","cuteness_rating","cuteness","1","450","450"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-21","cuteness_rating","cuteness","1","510","510"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-38","cuteness_rating","cuteness","1","441","441"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-28","cuteness_rating","cuteness","1","334","334"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-25","cuteness_rating","cuteness","1","358","358"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-16","cuteness_rating","cuteness","1","475","475"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-20","cuteness_rating","cuteness","1","1068","1068"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-45","cuteness_rating","cuteness","1","751","751"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-17","cuteness_rating","cuteness","1","1010","1010"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-19","cuteness_rating","cuteness","1","600","600"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-35","cuteness_rating","cuteness","1","634","634"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-03","cuteness_rating","cuteness","1","593","593"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-29","cuteness_rating","cuteness","1","484","484"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-07","cuteness_rating","cuteness","1","292","292"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-12","cuteness_rating","cuteness","1","241","241"
"session-1777384168378-wz5sqf","34","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-34","cuteness_rating","cuteness","1","459","459"
