session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-36","cuteness_rating","cuteness","4","3610","3610"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-03","cuteness_rating","cuteness","3","2995","2995"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-41","cuteness_rating","cuteness","5","1921","1921"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-50","cuteness_rating","cuteness","2","2200","2200"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-31","cuteness_rating","cuteness","6","2612","2612"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-30","cuteness_rating","cuteness","1","2087","2087"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-27","cuteness_rating","cuteness","3","2345","2345"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-19","cuteness_rating","cuteness","5","2885","2885"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-10","cuteness_rating","cuteness","4","1789","1789"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-35","cuteness_rating","cuteness","3","1926","1926"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-09","cuteness_rating","cuteness","2","1901","1901"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-21","cuteness_rating","cuteness","5","3784","3784"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-49","cuteness_rating","cuteness","7","2201","2201"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-25","cuteness_rating","cuteness","2","2168","2168"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-32","cuteness_rating","cuteness","1","1883","1883"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-43","cuteness_rating","cuteness","1","1767","1767"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-24","cuteness_rating","cuteness","3","2539","2539"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-16","cuteness_rating","cuteness","4","1947","1947"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-39","cuteness_rating","cuteness","1","1968","1969"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-12","cuteness_rating","cuteness","1","1968","1968"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-18","cuteness_rating","cuteness","1","1611","1611"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-04","cuteness_rating","cuteness","3","2051","2051"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-13","cuteness_rating","cuteness","3","2378","2378"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-26","cuteness_rating","cuteness","4","2157","2157"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-46","cuteness_rating","cuteness","1","1797","1797"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-06","cuteness_rating","cuteness","1","2151","2151"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-07","cuteness_rating","cuteness","7","2196","2196"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-22","cuteness_rating","cuteness","2","1920","1920"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-44","cuteness_rating","cuteness","1","1704","1704"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-29","cuteness_rating","cuteness","1","1607","1608"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-01","cuteness_rating","cuteness","7","2087","2087"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-38","cuteness_rating","cuteness","2","2151","2151"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-45","cuteness_rating","cuteness","2","2021","2021"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-34","cuteness_rating","cuteness","2","2644","2644"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-17","cuteness_rating","cuteness","4","1918","1918"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-05","cuteness_rating","cuteness","1","1816","1816"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-08","cuteness_rating","cuteness","4","2034","2034"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-23","cuteness_rating","cuteness","2","1898","1898"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-42","cuteness_rating","cuteness","2","1765","1765"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-37","cuteness_rating","cuteness","1","1707","1707"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","41","neutral-48","cuteness_rating","cuteness","3","2217","2217"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","42","neutral-11","cuteness_rating","cuteness","1","2077","2077"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","43","neutral-14","cuteness_rating","cuteness","3","2036","2036"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","44","neutral-15","cuteness_rating","cuteness","4","2649","2649"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","45","neutral-40","cuteness_rating","cuteness","5","1712","1712"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","46","neutral-33","cuteness_rating","cuteness","1","1700","1700"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","47","neutral-28","cuteness_rating","cuteness","5","2326","2326"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","48","neutral-20","cuteness_rating","cuteness","3","2645","2645"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","49","neutral-02","cuteness_rating","cuteness","4","1812","1812"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","50","neutral-47","cuteness_rating","cuteness","2","1787","1787"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","1","19480","29328"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","7","6594","9149"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","2","14783","18098"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","7","1980","4186"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","1","9202","10501"
"session-1777426695473-zec6ix","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","7","2131","3347"
