session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-02","cuteness_rating","cuteness","1","2579","2579"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-35","cuteness_rating","cuteness","1","1599","1599"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-01","cuteness_rating","cuteness","2","1876","1877"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-05","cuteness_rating","cuteness","1","2850","2850"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-25","cuteness_rating","cuteness","3","2217","2217"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-46","cuteness_rating","cuteness","1","1705","1705"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-16","cuteness_rating","cuteness","1","1779","1779"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-20","cuteness_rating","cuteness","1","1651","1651"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-18","cuteness_rating","cuteness","1","1185","1186"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-24","cuteness_rating","cuteness","1","2368","2368"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-36","cuteness_rating","cuteness","4","2101","2101"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-06","cuteness_rating","cuteness","2","1929","1929"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-38","cuteness_rating","cuteness","3","1804","1804"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-47","cuteness_rating","cuteness","3","5013","5013"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-10","cuteness_rating","cuteness","4","2153","2153"
"session-1777427041327-q0fsv4","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-29","cuteness_rating","cuteness","3","4064","4064"
