session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-50","cuteness_rating","cuteness","6","4972","4972"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-31","cuteness_rating","cuteness","3","2201","2201"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-17","cuteness_rating","cuteness","4","2879","2879"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-20","cuteness_rating","cuteness","1","2325","2325"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-45","cuteness_rating","cuteness","4","2199","2199"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-28","cuteness_rating","cuteness","5","3029","3029"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-13","cuteness_rating","cuteness","5","3876","3876"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-46","cuteness_rating","cuteness","3","4811","4811"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-30","cuteness_rating","cuteness","6","1801","1801"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-15","cuteness_rating","cuteness","4","6278","6278"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-05","cuteness_rating","cuteness","1","2184","2184"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-48","cuteness_rating","cuteness","5","2063","2063"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-36","cuteness_rating","cuteness","6","1283","1283"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-35","cuteness_rating","cuteness","6","1450","1450"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-22","cuteness_rating","cuteness","2","1457","1457"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-16","cuteness_rating","cuteness","5","3089","3090"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-04","cuteness_rating","cuteness","5","4836","4836"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-43","cuteness_rating","cuteness","3","2943","2943"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-26","cuteness_rating","cuteness","6","1841","1841"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-06","cuteness_rating","cuteness","4","2448","2448"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-25","cuteness_rating","cuteness","5","1401","1401"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-47","cuteness_rating","cuteness","3","1945","1946"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-09","cuteness_rating","cuteness","5","2022","2022"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-40","cuteness_rating","cuteness","6","1383","1383"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-33","cuteness_rating","cuteness","5","1144","1144"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-44","cuteness_rating","cuteness","4","6253","6253"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-08","cuteness_rating","cuteness","6","1106","1106"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-39","cuteness_rating","cuteness","6","1091","1091"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-02","cuteness_rating","cuteness","3","2206","2207"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-37","cuteness_rating","cuteness","4","1720","1720"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-18","cuteness_rating","cuteness","5","2890","2890"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-32","cuteness_rating","cuteness","1","1502","1502"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-27","cuteness_rating","cuteness","3","4066","4066"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-23","cuteness_rating","cuteness","4","2644","2645"
"session-1777427059126-1etd82","21","남성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-14","cuteness_rating","cuteness","3","1752","1752"
