session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-18","cuteness_rating","cuteness","2","5546","5546"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-27","cuteness_rating","cuteness","2","2834","2834"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-33","cuteness_rating","cuteness","2","3800","3800"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-01","cuteness_rating","cuteness","2","2665","2666"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-41","cuteness_rating","cuteness","2","1851","1851"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-30","cuteness_rating","cuteness","2","1399","1399"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-39","cuteness_rating","cuteness","2","1351","1351"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-31","cuteness_rating","cuteness","1","2633","2633"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-43","cuteness_rating","cuteness","2","2133","2133"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-25","cuteness_rating","cuteness","1","3267","3267"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-21","cuteness_rating","cuteness","2","2399","2399"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-24","cuteness_rating","cuteness","3","1851","1851"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-46","cuteness_rating","cuteness","2","1967","1967"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-08","cuteness_rating","cuteness","2","1582","1582"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-47","cuteness_rating","cuteness","2","968","968"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-17","cuteness_rating","cuteness","2","1732","1732"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-34","cuteness_rating","cuteness","2","1217","1217"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-11","cuteness_rating","cuteness","1","2600","2600"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-19","cuteness_rating","cuteness","3","2616","2616"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-45","cuteness_rating","cuteness","2","1350","1351"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-14","cuteness_rating","cuteness","1","2616","2616"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-15","cuteness_rating","cuteness","2","1783","1783"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-36","cuteness_rating","cuteness","2","1484","1484"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-48","cuteness_rating","cuteness","2","5816","5816"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-07","cuteness_rating","cuteness","3","2234","2234"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-10","cuteness_rating","cuteness","2","2066","2066"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-03","cuteness_rating","cuteness","2","1484","1484"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-42","cuteness_rating","cuteness","2","1050","1050"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-23","cuteness_rating","cuteness","2","1100","1100"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-02","cuteness_rating","cuteness","1","2167","2167"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-06","cuteness_rating","cuteness","1","1433","1433"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-37","cuteness_rating","cuteness","1","1366","1366"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-05","cuteness_rating","cuteness","3","1668","1668"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-29","cuteness_rating","cuteness","1","1666","1666"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-04","cuteness_rating","cuteness","2","3099","3100"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-09","cuteness_rating","cuteness","1","1550","1550"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-32","cuteness_rating","cuteness","3","1900","1900"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-13","cuteness_rating","cuteness","2","1866","1866"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-22","cuteness_rating","cuteness","2","4984","4984"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-12","cuteness_rating","cuteness","1","2083","2083"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","41","neutral-20","cuteness_rating","cuteness","1","982","983"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","42","neutral-49","cuteness_rating","cuteness","3","4816","4816"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","43","neutral-40","cuteness_rating","cuteness","2","1266","1267"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","44","neutral-28","cuteness_rating","cuteness","2","1083","1083"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","45","neutral-50","cuteness_rating","cuteness","1","1767","1767"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","46","neutral-16","cuteness_rating","cuteness","1","1233","1233"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","47","neutral-44","cuteness_rating","cuteness","2","2334","2334"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","48","neutral-26","cuteness_rating","cuteness","2","2067","2067"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","49","neutral-38","cuteness_rating","cuteness","1","1482","1483"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","50","neutral-35","cuteness_rating","cuteness","1","1617","1617"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","1","21418","23184"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","4","5166","6032"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","4","31666","34168"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","6","3665","4732"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","2","8181","9616"
"session-1777427087352-l896ai","20","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","6","1982","2950"
