session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-20","cuteness_rating","cuteness","1","2530","2531"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-05","cuteness_rating","cuteness","1","1583","1584"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-17","cuteness_rating","cuteness","1","1350","1350"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-35","cuteness_rating","cuteness","1","883","883"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-32","cuteness_rating","cuteness","1","1450","1450"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-36","cuteness_rating","cuteness","1","800","800"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-30","cuteness_rating","cuteness","1","1182","1183"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-42","cuteness_rating","cuteness","1","733","733"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-03","cuteness_rating","cuteness","1","801","801"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-08","cuteness_rating","cuteness","1","616","616"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-19","cuteness_rating","cuteness","2","1918","1918"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-37","cuteness_rating","cuteness","2","2716","2716"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-15","cuteness_rating","cuteness","1","999","999"
"session-1777427087623-hvwa0k","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-12","cuteness_rating","cuteness","1","868","868"
