session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-38","cuteness_rating","cuteness","6","3174","3174"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-10","cuteness_rating","cuteness","7","2115","2116"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-08","cuteness_rating","cuteness","5","1372","1372"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-45","cuteness_rating","cuteness","5","1728","1728"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-07","cuteness_rating","cuteness","6","1983","1984"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-36","cuteness_rating","cuteness","6","1786","1786"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-32","cuteness_rating","cuteness","7","1487","1488"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-18","cuteness_rating","cuteness","6","1363","1364"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-28","cuteness_rating","cuteness","7","1299","1299"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-14","cuteness_rating","cuteness","7","1698","1698"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-35","cuteness_rating","cuteness","5","1217","1217"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-06","cuteness_rating","cuteness","6","4351","4352"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-15","cuteness_rating","cuteness","6","1230","1230"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-12","cuteness_rating","cuteness","7","1284","1284"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-31","cuteness_rating","cuteness","7","1234","1234"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-43","cuteness_rating","cuteness","7","1082","1082"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-16","cuteness_rating","cuteness","6","1439","1439"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-37","cuteness_rating","cuteness","7","974","975"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-21","cuteness_rating","cuteness","6","1964","1965"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-11","cuteness_rating","cuteness","7","1290","1290"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-41","cuteness_rating","cuteness","5","1470","1470"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-33","cuteness_rating","cuteness","6","1426","1426"
"session-1777427087942-nt0gyi","24","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-17","cuteness_rating","cuteness","7","1571","1571"
