session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-49","cuteness_rating","cuteness","5","4981","4981"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-50","cuteness_rating","cuteness","5","125","125"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-34","cuteness_rating","cuteness","6","4116","4116"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-18","cuteness_rating","cuteness","6","2496","2496"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-04","cuteness_rating","cuteness","6","84","84"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-47","cuteness_rating","cuteness","7","3166","3166"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-48","cuteness_rating","cuteness","7","155","155"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-44","cuteness_rating","cuteness","5","2732","2732"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-39","cuteness_rating","cuteness","5","57","57"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-14","cuteness_rating","cuteness","6","2042","2042"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-40","cuteness_rating","cuteness","6","119","119"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-46","cuteness_rating","cuteness","4","3200","3200"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-24","cuteness_rating","cuteness","7","1254","1254"
"session-1777427089639-45948x","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-22","cuteness_rating","cuteness","7","77","77"
