session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-26","cuteness_rating","cuteness","3","3071","3071"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-23","cuteness_rating","cuteness","7","2436","2436"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-13","cuteness_rating","cuteness","6","2084","2084"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-33","cuteness_rating","cuteness","5","1894","1894"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-27","cuteness_rating","cuteness","5","2173","2173"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-28","cuteness_rating","cuteness","6","1855","1855"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-06","cuteness_rating","cuteness","6","1569","1569"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-15","cuteness_rating","cuteness","5","2301","2301"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-18","cuteness_rating","cuteness","6","1993","1993"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-49","cuteness_rating","cuteness","5","1876","1877"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-02","cuteness_rating","cuteness","5","2140","2140"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-40","cuteness_rating","cuteness","5","1788","1788"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-25","cuteness_rating","cuteness","7","2473","2473"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-47","cuteness_rating","cuteness","4","3319","3320"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-12","cuteness_rating","cuteness","5","2848","2848"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-09","cuteness_rating","cuteness","5","1536","1536"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-29","cuteness_rating","cuteness","6","2127","2127"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-24","cuteness_rating","cuteness","6","1865","1865"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-41","cuteness_rating","cuteness","5","2889","2889"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-19","cuteness_rating","cuteness","5","3494","3494"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-16","cuteness_rating","cuteness","7","2059","2060"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-20","cuteness_rating","cuteness","6","1740","1740"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-30","cuteness_rating","cuteness","5","1828","1828"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-03","cuteness_rating","cuteness","6","2402","2402"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-22","cuteness_rating","cuteness","5","2194","2194"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-05","cuteness_rating","cuteness","6","1664","1664"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-38","cuteness_rating","cuteness","5","1615","1615"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-46","cuteness_rating","cuteness","3","2036","2036"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-11","cuteness_rating","cuteness","5","1630","1630"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-31","cuteness_rating","cuteness","5","2174","2174"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-32","cuteness_rating","cuteness","4","2409","2409"
"session-1777427091999-wi5956","26","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-48","cuteness_rating","cuteness","2","2016","2016"
