session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-13","cuteness_rating","cuteness","7","5235","5235"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-34","cuteness_rating","cuteness","6","4290","4290"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-25","cuteness_rating","cuteness","7","5858","5858"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-02","cuteness_rating","cuteness","7","3689","3689"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-37","cuteness_rating","cuteness","7","2064","2064"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-15","cuteness_rating","cuteness","5","4424","4424"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-41","cuteness_rating","cuteness","4","4763","4763"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-20","cuteness_rating","cuteness","6","5287","5287"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-04","cuteness_rating","cuteness","7","2725","2725"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-38","cuteness_rating","cuteness","4","3126","3126"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-44","cuteness_rating","cuteness","5","3345","3345"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-47","cuteness_rating","cuteness","5","2842","2842"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-03","cuteness_rating","cuteness","6","3211","3211"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-46","cuteness_rating","cuteness","5","4342","4342"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-23","cuteness_rating","cuteness","7","1447","1447"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-31","cuteness_rating","cuteness","7","4741","4741"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-32","cuteness_rating","cuteness","6","4995","4995"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-28","cuteness_rating","cuteness","5","3899","3900"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-33","cuteness_rating","cuteness","6","6369","6369"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-22","cuteness_rating","cuteness","5","5991","5991"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-08","cuteness_rating","cuteness","6","4357","4358"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-49","cuteness_rating","cuteness","3","5429","5430"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-21","cuteness_rating","cuteness","5","5273","5273"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-30","cuteness_rating","cuteness","6","2085","2085"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-11","cuteness_rating","cuteness","7","1710","1710"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-39","cuteness_rating","cuteness","7","1110","1110"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-16","cuteness_rating","cuteness","6","3263","3263"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-27","cuteness_rating","cuteness","4","2759","2759"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-26","cuteness_rating","cuteness","4","3896","3896"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-43","cuteness_rating","cuteness","3","2346","2346"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-50","cuteness_rating","cuteness","3","1363","1363"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-09","cuteness_rating","cuteness","7","2204","2204"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-48","cuteness_rating","cuteness","2","6031","6031"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-40","cuteness_rating","cuteness","7","3891","3891"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-18","cuteness_rating","cuteness","6","1996","1996"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","36","cute-14","cuteness_rating","cuteness","6","1545","1545"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","37","cute-45","cuteness_rating","cuteness","4","6570","6570"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","38","cute-29","cuteness_rating","cuteness","4","3060","3060"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","39","cute-17","cuteness_rating","cuteness","5","3255","3255"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","40","cute-06","cuteness_rating","cuteness","6","1574","1574"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","41","cute-42","cuteness_rating","cuteness","4","1823","1823"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","42","cute-19","cuteness_rating","cuteness","4","2482","2482"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","43","cute-07","cuteness_rating","cuteness","5","2776","2776"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","44","cute-24","cuteness_rating","cuteness","5","2249","2249"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","45","cute-12","cuteness_rating","cuteness","6","3015","3016"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","46","cute-36","cuteness_rating","cuteness","4","4201","4201"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","47","cute-35","cuteness_rating","cuteness","5","3516","3517"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","48","cute-01","cuteness_rating","cuteness","5","2881","2881"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","49","cute-05","cuteness_rating","cuteness","5","1717","1718"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","50","cute-10","cuteness_rating","cuteness","6","4357","4357"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","32473","37979"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","3","14375","22319"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","47235","49170"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","2","1605","3165"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","2","71094","75000"
"session-1777427092067-b4vp05","23","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","2","4713","7361"
