session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-47","cuteness_rating","cuteness","3","4823","4823"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-36","cuteness_rating","cuteness","5","2055","2056"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-28","cuteness_rating","cuteness","5","1967","1967"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-26","cuteness_rating","cuteness","6","1816","1816"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-18","cuteness_rating","cuteness","2","1183","1183"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-13","cuteness_rating","cuteness","7","2050","2050"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-20","cuteness_rating","cuteness","1","1167","1167"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-34","cuteness_rating","cuteness","2","2049","2050"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-35","cuteness_rating","cuteness","2","883","883"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-27","cuteness_rating","cuteness","6","3281","3282"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-44","cuteness_rating","cuteness","1","1051","1051"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-43","cuteness_rating","cuteness","4","1302","1302"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-41","cuteness_rating","cuteness","6","1549","1549"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-42","cuteness_rating","cuteness","2","933","933"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-45","cuteness_rating","cuteness","1","884","884"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-30","cuteness_rating","cuteness","7","1250","1250"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-37","cuteness_rating","cuteness","3","1798","1799"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-50","cuteness_rating","cuteness","2","783","783"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-25","cuteness_rating","cuteness","4","4048","4048"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-38","cuteness_rating","cuteness","2","4650","4650"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-09","cuteness_rating","cuteness","3","918","918"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-03","cuteness_rating","cuteness","5","2100","2100"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-08","cuteness_rating","cuteness","3","1651","1651"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-24","cuteness_rating","cuteness","5","3415","3415"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-01","cuteness_rating","cuteness","2","5249","5249"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-31","cuteness_rating","cuteness","4","1784","1784"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-22","cuteness_rating","cuteness","5","2998","2998"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-02","cuteness_rating","cuteness","2","1185","1185"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-14","cuteness_rating","cuteness","4","1650","1650"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-06","cuteness_rating","cuteness","2","1650","1650"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-49","cuteness_rating","cuteness","3","1183","1184"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-16","cuteness_rating","cuteness","3","683","683"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-46","cuteness_rating","cuteness","2","718","718"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-04","cuteness_rating","cuteness","3","698","699"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-07","cuteness_rating","cuteness","5","1668","1668"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-48","cuteness_rating","cuteness","2","899","900"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-10","cuteness_rating","cuteness","4","1283","1283"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-23","cuteness_rating","cuteness","3","816","816"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-39","cuteness_rating","cuteness","2","1267","1267"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-11","cuteness_rating","cuteness","1","1599","1599"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-12","cuteness_rating","cuteness","1","751","751"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-15","cuteness_rating","cuteness","2","684","684"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-33","cuteness_rating","cuteness","4","799","799"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-19","cuteness_rating","cuteness","3","850","850"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-40","cuteness_rating","cuteness","5","1200","1200"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-32","cuteness_rating","cuteness","2","1050","1050"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-29","cuteness_rating","cuteness","3","1514","1514"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-21","cuteness_rating","cuteness","3","867","867"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-17","cuteness_rating","cuteness","3","850","850"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","50","neutral-05","cuteness_rating","cuteness","3","2383","2383"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","11216","12082"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","3","6568","7133"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","5","10566","11332"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","2","2553","3133"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","2","8518","9118"
"session-1777427093164-951uy5","24","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","3","4468","4998"
