session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-14","cuteness_rating","cuteness","7","4673","4674"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-31","cuteness_rating","cuteness","7","2765","2765"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-24","cuteness_rating","cuteness","7","2728","2728"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-23","cuteness_rating","cuteness","7","1640","1640"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-44","cuteness_rating","cuteness","5","2817","2817"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-33","cuteness_rating","cuteness","7","2905","2905"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-49","cuteness_rating","cuteness","5","3159","3159"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-39","cuteness_rating","cuteness","6","2550","2550"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-25","cuteness_rating","cuteness","7","1572","1573"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-20","cuteness_rating","cuteness","7","1252","1252"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-27","cuteness_rating","cuteness","5","1981","1981"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-07","cuteness_rating","cuteness","7","2280","2280"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-18","cuteness_rating","cuteness","7","2117","2117"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-09","cuteness_rating","cuteness","6","1914","1914"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-04","cuteness_rating","cuteness","7","1718","1718"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-21","cuteness_rating","cuteness","7","2047","2047"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-38","cuteness_rating","cuteness","5","2299","2299"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-37","cuteness_rating","cuteness","5","1271","1271"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-15","cuteness_rating","cuteness","5","1914","1914"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-46","cuteness_rating","cuteness","3","2016","2016"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-11","cuteness_rating","cuteness","7","1860","1860"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-36","cuteness_rating","cuteness","6","2092","2093"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-41","cuteness_rating","cuteness","6","1547","1548"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-17","cuteness_rating","cuteness","7","2039","2039"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-28","cuteness_rating","cuteness","7","999","999"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-10","cuteness_rating","cuteness","6","2332","2333"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-12","cuteness_rating","cuteness","6","1647","1647"
"session-1777427094121-fv48wb","22","여성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-48","cuteness_rating","cuteness","3","2184","2184"
