session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-14","cuteness_rating","cuteness","1","3064","3066"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-43","cuteness_rating","cuteness","2","1578","1578"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-19","cuteness_rating","cuteness","5","3063","3063"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-13","cuteness_rating","cuteness","5","2654","2654"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-05","cuteness_rating","cuteness","5","2371","2371"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-50","cuteness_rating","cuteness","3","2505","2506"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-47","cuteness_rating","cuteness","5","1834","1834"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-41","cuteness_rating","cuteness","1","1973","1973"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-39","cuteness_rating","cuteness","1","4355","4355"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-32","cuteness_rating","cuteness","5","1888","1888"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-38","cuteness_rating","cuteness","2","1423","1423"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-08","cuteness_rating","cuteness","2","2366","2366"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-44","cuteness_rating","cuteness","1","3789","3789"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-24","cuteness_rating","cuteness","5","1938","1938"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-23","cuteness_rating","cuteness","1","2137","2138"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-46","cuteness_rating","cuteness","1","1787","1787"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-40","cuteness_rating","cuteness","4","2875","2875"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-31","cuteness_rating","cuteness","7","1882","1882"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-11","cuteness_rating","cuteness","2","1953","1953"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-02","cuteness_rating","cuteness","7","1395","1395"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-36","cuteness_rating","cuteness","1","1444","1445"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-20","cuteness_rating","cuteness","4","1402","1403"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-25","cuteness_rating","cuteness","1","2287","2287"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-18","cuteness_rating","cuteness","6","2540","2540"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-17","cuteness_rating","cuteness","5","2486","2487"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-07","cuteness_rating","cuteness","1","1352","1352"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-33","cuteness_rating","cuteness","5","2539","2539"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-45","cuteness_rating","cuteness","2","2928","2928"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-42","cuteness_rating","cuteness","1","1582","1582"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-26","cuteness_rating","cuteness","5","1438","1438"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-37","cuteness_rating","cuteness","1","1471","1471"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-03","cuteness_rating","cuteness","4","1951","1951"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-48","cuteness_rating","cuteness","1","1490","1490"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-28","cuteness_rating","cuteness","6","2228","2229"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-49","cuteness_rating","cuteness","7","3095","3095"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-34","cuteness_rating","cuteness","1","1823","1823"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-35","cuteness_rating","cuteness","2","1315","1315"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-12","cuteness_rating","cuteness","2","1671","1671"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-21","cuteness_rating","cuteness","5","1518","1518"
"session-1777427094293-r5eaz8","21","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-29","cuteness_rating","cuteness","1","1819","1819"
