session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-13","cuteness_rating","cuteness","7","3369","3369"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-46","cuteness_rating","cuteness","5","5243","5243"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-04","cuteness_rating","cuteness","7","3541","3541"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-30","cuteness_rating","cuteness","7","1686","1686"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-09","cuteness_rating","cuteness","7","1326","1326"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-19","cuteness_rating","cuteness","7","1474","1474"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-42","cuteness_rating","cuteness","6","2496","2496"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-18","cuteness_rating","cuteness","7","1479","1479"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-48","cuteness_rating","cuteness","4","2082","2082"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-50","cuteness_rating","cuteness","5","2672","2672"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-03","cuteness_rating","cuteness","7","1442","1442"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-06","cuteness_rating","cuteness","7","972","972"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-47","cuteness_rating","cuteness","7","2009","2009"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-10","cuteness_rating","cuteness","7","1160","1161"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-02","cuteness_rating","cuteness","7","1127","1127"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-20","cuteness_rating","cuteness","7","1024","1024"
"session-1777427096374-fwgj13","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-24","cuteness_rating","cuteness","7","1096","1096"
