session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-08","cuteness_rating","cuteness","1","4000","4000"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-33","cuteness_rating","cuteness","1","1054","1054"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-47","cuteness_rating","cuteness","1","729","729"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-37","cuteness_rating","cuteness","1","1462","1462"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-14","cuteness_rating","cuteness","1","728","728"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-29","cuteness_rating","cuteness","1","727","727"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-17","cuteness_rating","cuteness","1","780","780"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-30","cuteness_rating","cuteness","1","799","799"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-10","cuteness_rating","cuteness","3","1619","1620"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-27","cuteness_rating","cuteness","2","1879","1879"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-49","cuteness_rating","cuteness","1","1493","1493"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-01","cuteness_rating","cuteness","1","657","657"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-41","cuteness_rating","cuteness","1","800","800"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-35","cuteness_rating","cuteness","1","670","670"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-43","cuteness_rating","cuteness","1","767","767"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-07","cuteness_rating","cuteness","4","1966","1966"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-38","cuteness_rating","cuteness","1","1083","1083"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-26","cuteness_rating","cuteness","3","2274","2275"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-25","cuteness_rating","cuteness","1","774","774"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-39","cuteness_rating","cuteness","1","769","769"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-44","cuteness_rating","cuteness","1","682","682"
"session-1777427097576-an0ls0","21","여성","일본","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-09","cuteness_rating","cuteness","1","753","753"
