session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-36","cuteness_rating","cuteness","3","5425","5425"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-33","cuteness_rating","cuteness","2","1515","1515"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-38","cuteness_rating","cuteness","2","1364","1364"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-07","cuteness_rating","cuteness","5","1519","1519"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-32","cuteness_rating","cuteness","4","1345","1346"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-42","cuteness_rating","cuteness","3","2851","2851"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-19","cuteness_rating","cuteness","5","2627","2627"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-49","cuteness_rating","cuteness","2","2166","2166"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-16","cuteness_rating","cuteness","1","1829","1830"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-06","cuteness_rating","cuteness","5","1596","1596"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-12","cuteness_rating","cuteness","2","1380","1381"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-34","cuteness_rating","cuteness","2","2263","2263"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-43","cuteness_rating","cuteness","4","3139","3139"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-50","cuteness_rating","cuteness","2","1262","1262"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-23","cuteness_rating","cuteness","2","1929","1929"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-41","cuteness_rating","cuteness","4","2951","2951"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-45","cuteness_rating","cuteness","4","1236","1236"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-18","cuteness_rating","cuteness","3","2747","2748"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-29","cuteness_rating","cuteness","3","4883","4884"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-31","cuteness_rating","cuteness","5","1954","1954"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-46","cuteness_rating","cuteness","3","1513","1513"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-03","cuteness_rating","cuteness","4","1425","1425"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-05","cuteness_rating","cuteness","3","1273","1274"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-09","cuteness_rating","cuteness","2","1435","1435"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-14","cuteness_rating","cuteness","2","2211","2211"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-39","cuteness_rating","cuteness","2","1463","1463"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-40","cuteness_rating","cuteness","2","1703","1703"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-04","cuteness_rating","cuteness","2","1721","1721"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-21","cuteness_rating","cuteness","3","1100","1100"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-22","cuteness_rating","cuteness","3","1254","1254"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-15","cuteness_rating","cuteness","4","1290","1290"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-26","cuteness_rating","cuteness","3","889","889"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-20","cuteness_rating","cuteness","1","2013","2013"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-30","cuteness_rating","cuteness","3","1386","1386"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-08","cuteness_rating","cuteness","4","4435","4436"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-47","cuteness_rating","cuteness","3","1184","1184"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-17","cuteness_rating","cuteness","3","1695","1695"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-37","cuteness_rating","cuteness","2","1650","1650"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-28","cuteness_rating","cuteness","3","1750","1750"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-44","cuteness_rating","cuteness","2","1515","1515"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","41","neutral-27","cuteness_rating","cuteness","4","2283","2283"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","42","neutral-48","cuteness_rating","cuteness","2","3202","3202"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","43","neutral-35","cuteness_rating","cuteness","2","644","644"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","44","neutral-24","cuteness_rating","cuteness","2","1668","1668"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","45","neutral-10","cuteness_rating","cuteness","2","1054","1054"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","46","neutral-13","cuteness_rating","cuteness","3","945","945"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","47","neutral-02","cuteness_rating","cuteness","1","1319","1319"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","48","neutral-25","cuteness_rating","cuteness","1","2101","2101"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","49","neutral-11","cuteness_rating","cuteness","1","1118","1119"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","50","neutral-01","cuteness_rating","cuteness","2","1401","1401"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","37401","38928"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","2","3691","4417"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","6317","7167"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","6","3732","4433"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","3","8591","9451"
"session-1777427098140-h916yo","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","6","2014","2898"
