session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-24","cuteness_rating","cuteness","6","5178","5178"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-20","cuteness_rating","cuteness","6","2040","2040"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-23","cuteness_rating","cuteness","6","1826","1826"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-04","cuteness_rating","cuteness","6","1756","1756"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-46","cuteness_rating","cuteness","4","2311","2311"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-18","cuteness_rating","cuteness","5","1680","1680"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-44","cuteness_rating","cuteness","3","2567","2567"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-45","cuteness_rating","cuteness","3","2878","2878"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-16","cuteness_rating","cuteness","6","1824","1824"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-21","cuteness_rating","cuteness","6","1529","1529"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-12","cuteness_rating","cuteness","5","1678","1679"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-47","cuteness_rating","cuteness","3","2356","2356"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-05","cuteness_rating","cuteness","5","1844","1844"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-49","cuteness_rating","cuteness","4","1636","1636"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-01","cuteness_rating","cuteness","6","3000","3000"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-19","cuteness_rating","cuteness","6","1613","1613"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-17","cuteness_rating","cuteness","6","1139","1139"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-14","cuteness_rating","cuteness","5","2032","2032"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-34","cuteness_rating","cuteness","3","1996","1996"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-43","cuteness_rating","cuteness","4","3166","3166"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-32","cuteness_rating","cuteness","5","1837","1838"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-10","cuteness_rating","cuteness","4","2219","2219"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-03","cuteness_rating","cuteness","6","3394","3395"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-41","cuteness_rating","cuteness","3","2092","2093"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-37","cuteness_rating","cuteness","4","1548","1548"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-15","cuteness_rating","cuteness","5","3579","3579"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-28","cuteness_rating","cuteness","5","1806","1806"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-50","cuteness_rating","cuteness","5","1261","1261"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-26","cuteness_rating","cuteness","4","2001","2001"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-39","cuteness_rating","cuteness","5","1846","1846"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-42","cuteness_rating","cuteness","6","1509","1509"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-27","cuteness_rating","cuteness","6","2240","2240"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-30","cuteness_rating","cuteness","4","1720","1720"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-11","cuteness_rating","cuteness","4","1235","1235"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-48","cuteness_rating","cuteness","2","1944","1944"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-25","cuteness_rating","cuteness","5","2284","2284"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-35","cuteness_rating","cuteness","3","2617","2617"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-33","cuteness_rating","cuteness","4","2142","2143"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-40","cuteness_rating","cuteness","3","1417","1417"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-06","cuteness_rating","cuteness","5","2293","2293"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-07","cuteness_rating","cuteness","5","1666","1667"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-29","cuteness_rating","cuteness","6","2099","2099"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-31","cuteness_rating","cuteness","4","1454","1454"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-09","cuteness_rating","cuteness","5","2003","2003"
"session-1777427099280-ra0vhs","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-38","cuteness_rating","cuteness","3","2077","2077"
