session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-35","cuteness_rating","cuteness","2","5882","5882"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-29","cuteness_rating","cuteness","4","6281","6282"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-17","cuteness_rating","cuteness","5","2452","2452"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-34","cuteness_rating","cuteness","3","2538","2538"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-28","cuteness_rating","cuteness","6","3058","3058"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-26","cuteness_rating","cuteness","6","2392","2392"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-32","cuteness_rating","cuteness","5","2879","2879"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-18","cuteness_rating","cuteness","3","2590","2590"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-38","cuteness_rating","cuteness","2","3642","3642"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-09","cuteness_rating","cuteness","6","2551","2554"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-10","cuteness_rating","cuteness","4","2211","2212"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-04","cuteness_rating","cuteness","3","3476","3476"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-02","cuteness_rating","cuteness","5","1954","1954"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-03","cuteness_rating","cuteness","6","2036","2036"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-21","cuteness_rating","cuteness","7","1466","1466"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-40","cuteness_rating","cuteness","7","1317","1317"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-30","cuteness_rating","cuteness","7","1909","1910"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-16","cuteness_rating","cuteness","5","1852","1852"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-42","cuteness_rating","cuteness","1","3070","3070"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-37","cuteness_rating","cuteness","5","3602","3602"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-45","cuteness_rating","cuteness","1","2846","2846"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-36","cuteness_rating","cuteness","5","2148","2148"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-13","cuteness_rating","cuteness","5","3574","3574"
"session-1777427109052-1q1jvm","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-50","cuteness_rating","cuteness","1","3292","3292"
