session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-17","cuteness_rating","cuteness","6","3402","3402"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-27","cuteness_rating","cuteness","6","1811","1811"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-33","cuteness_rating","cuteness","6","1259","1259"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-11","cuteness_rating","cuteness","7","1632","1632"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-13","cuteness_rating","cuteness","7","1082","1082"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-06","cuteness_rating","cuteness","7","1659","1659"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-45","cuteness_rating","cuteness","3","1415","1415"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-22","cuteness_rating","cuteness","5","1580","1580"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-04","cuteness_rating","cuteness","6","1378","1378"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-35","cuteness_rating","cuteness","7","1489","1489"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-29","cuteness_rating","cuteness","7","1931","1931"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-47","cuteness_rating","cuteness","6","1493","1494"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-09","cuteness_rating","cuteness","7","1258","1258"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-20","cuteness_rating","cuteness","7","1014","1014"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-42","cuteness_rating","cuteness","7","896","896"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-36","cuteness_rating","cuteness","4","1806","1806"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-08","cuteness_rating","cuteness","7","1572","1572"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-37","cuteness_rating","cuteness","6","1769","1770"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-48","cuteness_rating","cuteness","4","2228","2228"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-46","cuteness_rating","cuteness","2","1478","1478"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-25","cuteness_rating","cuteness","6","1251","1251"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-03","cuteness_rating","cuteness","6","908","908"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-38","cuteness_rating","cuteness","3","1839","1840"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-32","cuteness_rating","cuteness","4","1489","1489"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-14","cuteness_rating","cuteness","6","1307","1307"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-41","cuteness_rating","cuteness","5","1800","1800"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-31","cuteness_rating","cuteness","6","1228","1228"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-18","cuteness_rating","cuteness","6","1189","1189"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-21","cuteness_rating","cuteness","7","1359","1359"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-16","cuteness_rating","cuteness","7","1292","1292"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-39","cuteness_rating","cuteness","5","1605","1605"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-24","cuteness_rating","cuteness","5","2118","2118"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-12","cuteness_rating","cuteness","7","1360","1360"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-49","cuteness_rating","cuteness","5","1465","1465"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-19","cuteness_rating","cuteness","6","1158","1158"
"session-1777427115344-ks0pvl","20","여성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-07","cuteness_rating","cuteness","7","1271","1271"
