session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-37","cuteness_rating","cuteness","1","3209","3210"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-26","cuteness_rating","cuteness","1","1430","1430"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-39","cuteness_rating","cuteness","1","1177","1177"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-18","cuteness_rating","cuteness","1","2024","2024"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-25","cuteness_rating","cuteness","1","1349","1349"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-15","cuteness_rating","cuteness","1","1504","1504"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-27","cuteness_rating","cuteness","1","1294","1294"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-11","cuteness_rating","cuteness","1","1204","1204"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-08","cuteness_rating","cuteness","1","1160","1160"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-31","cuteness_rating","cuteness","1","1068","1068"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-42","cuteness_rating","cuteness","1","1245","1246"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-29","cuteness_rating","cuteness","1","1219","1219"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-05","cuteness_rating","cuteness","1","1483","1483"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-09","cuteness_rating","cuteness","1","1149","1149"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-43","cuteness_rating","cuteness","1","1004","1004"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-41","cuteness_rating","cuteness","1","986","986"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-34","cuteness_rating","cuteness","1","1166","1166"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-13","cuteness_rating","cuteness","1","1045","1045"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-48","cuteness_rating","cuteness","1","1623","1623"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-23","cuteness_rating","cuteness","1","1336","1336"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-03","cuteness_rating","cuteness","1","1292","1292"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-21","cuteness_rating","cuteness","1","1016","1016"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-46","cuteness_rating","cuteness","1","1409","1410"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-50","cuteness_rating","cuteness","1","1237","1237"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-38","cuteness_rating","cuteness","1","1125","1125"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-32","cuteness_rating","cuteness","1","1093","1093"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-44","cuteness_rating","cuteness","1","2195","2195"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-07","cuteness_rating","cuteness","2","4122","4122"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-28","cuteness_rating","cuteness","1","2801","2801"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-19","cuteness_rating","cuteness","1","1319","1319"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-49","cuteness_rating","cuteness","1","1638","1638"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-40","cuteness_rating","cuteness","1","933","933"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-17","cuteness_rating","cuteness","1","1153","1153"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-35","cuteness_rating","cuteness","1","1101","1101"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-45","cuteness_rating","cuteness","1","1055","1055"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-20","cuteness_rating","cuteness","1","1170","1170"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-04","cuteness_rating","cuteness","1","986","987"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-14","cuteness_rating","cuteness","1","869","869"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-22","cuteness_rating","cuteness","1","833","833"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-16","cuteness_rating","cuteness","1","1131","1131"
"session-1777427117666-vtt02x","24","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-47","cuteness_rating","cuteness","1","1170","1170"
