session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-44","cuteness_rating","cuteness","1","2774","2775"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-12","cuteness_rating","cuteness","1","1323","1323"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-25","cuteness_rating","cuteness","1","996","997"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-22","cuteness_rating","cuteness","1","1035","1035"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-11","cuteness_rating","cuteness","1","1147","1147"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-02","cuteness_rating","cuteness","1","966","966"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-37","cuteness_rating","cuteness","1","1054","1054"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-42","cuteness_rating","cuteness","1","936","937"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-13","cuteness_rating","cuteness","1","847","847"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-05","cuteness_rating","cuteness","1","949","949"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-48","cuteness_rating","cuteness","1","922","922"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-45","cuteness_rating","cuteness","1","848","848"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-28","cuteness_rating","cuteness","1","715","715"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-19","cuteness_rating","cuteness","1","1049","1049"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-32","cuteness_rating","cuteness","1","1067","1067"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-18","cuteness_rating","cuteness","1","968","968"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-23","cuteness_rating","cuteness","1","833","834"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-49","cuteness_rating","cuteness","1","961","961"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-24","cuteness_rating","cuteness","1","803","803"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-50","cuteness_rating","cuteness","1","707","707"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-26","cuteness_rating","cuteness","1","747","747"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-43","cuteness_rating","cuteness","1","670","670"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-15","cuteness_rating","cuteness","1","761","761"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-01","cuteness_rating","cuteness","1","818","818"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-38","cuteness_rating","cuteness","1","765","766"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-04","cuteness_rating","cuteness","1","870","870"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-14","cuteness_rating","cuteness","1","749","750"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-17","cuteness_rating","cuteness","1","700","700"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-46","cuteness_rating","cuteness","1","717","717"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-30","cuteness_rating","cuteness","1","801","801"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-21","cuteness_rating","cuteness","1","799","799"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-09","cuteness_rating","cuteness","1","783","784"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-08","cuteness_rating","cuteness","1","719","719"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-03","cuteness_rating","cuteness","1","947","948"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-40","cuteness_rating","cuteness","1","735","735"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-10","cuteness_rating","cuteness","1","682","682"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-29","cuteness_rating","cuteness","1","737","737"
"session-1777427119213-kp7vbi","22","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-07","cuteness_rating","cuteness","1","695","695"
