session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-08","cuteness_rating","cuteness","","","7004"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-35","cuteness_rating","cuteness","2","1044","1044"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-14","cuteness_rating","cuteness","2","1584","1585"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-34","cuteness_rating","cuteness","2","1081","1081"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-27","cuteness_rating","cuteness","3","1738","1738"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-05","cuteness_rating","cuteness","3","2595","2596"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-38","cuteness_rating","cuteness","2","1716","1716"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-16","cuteness_rating","cuteness","1","1794","1794"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-49","cuteness_rating","cuteness","3","2059","2059"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-40","cuteness_rating","cuteness","2","1774","1774"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-01","cuteness_rating","cuteness","4","1777","1777"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-41","cuteness_rating","cuteness","4","1896","1896"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-31","cuteness_rating","cuteness","1","2492","2492"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-15","cuteness_rating","cuteness","1","1291","1291"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-42","cuteness_rating","cuteness","3","3000","3000"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-46","cuteness_rating","cuteness","5","1986","1986"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-43","cuteness_rating","cuteness","2","2028","2028"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-19","cuteness_rating","cuteness","3","3069","3069"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-25","cuteness_rating","cuteness","2","3934","3934"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-09","cuteness_rating","cuteness","2","2073","2073"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-13","cuteness_rating","cuteness","1","1958","1958"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-32","cuteness_rating","cuteness","3","1466","1466"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-29","cuteness_rating","cuteness","2","1875","1876"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-44","cuteness_rating","cuteness","4","2111","2111"
"session-1777427120433-v71132","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-20","cuteness_rating","cuteness","2","2855","2855"
