session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-21","cuteness_rating","cuteness","6","4722","4722"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-41","cuteness_rating","cuteness","5","1733","1733"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-13","cuteness_rating","cuteness","4","1183","1183"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-04","cuteness_rating","cuteness","6","1250","1250"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-36","cuteness_rating","cuteness","4","950","950"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-14","cuteness_rating","cuteness","4","1250","1250"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-50","cuteness_rating","cuteness","4","2150","2150"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-33","cuteness_rating","cuteness","4","1033","1033"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-42","cuteness_rating","cuteness","5","1133","1133"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-38","cuteness_rating","cuteness","4","1450","1450"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-06","cuteness_rating","cuteness","6","1333","1333"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-03","cuteness_rating","cuteness","6","817","817"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-29","cuteness_rating","cuteness","4","1267","1267"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-45","cuteness_rating","cuteness","3","1750","1750"
"session-1777427120508-s08r0g","28","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-11","cuteness_rating","cuteness","4","1083","1083"
