session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-38","cuteness_rating","cuteness","2","3641","3641"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-02","cuteness_rating","cuteness","2","3782","3783"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-28","cuteness_rating","cuteness","2","5027","5027"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-29","cuteness_rating","cuteness","3","1876","1876"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-14","cuteness_rating","cuteness","3","3948","3948"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-20","cuteness_rating","cuteness","1","3638","3638"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-32","cuteness_rating","cuteness","2","1870","1870"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-06","cuteness_rating","cuteness","3","2131","2131"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-41","cuteness_rating","cuteness","3","5458","5458"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-04","cuteness_rating","cuteness","1","2987","2987"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-40","cuteness_rating","cuteness","2","2906","2906"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-01","cuteness_rating","cuteness","3","4257","4257"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-24","cuteness_rating","cuteness","3","6167","6167"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-22","cuteness_rating","cuteness","2","1567","1567"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-19","cuteness_rating","cuteness","3","1954","1954"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-08","cuteness_rating","cuteness","1","4545","4545"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-25","cuteness_rating","cuteness","2","2152","2152"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-47","cuteness_rating","cuteness","4","1949","1949"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-42","cuteness_rating","cuteness","2","4567","4567"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-10","cuteness_rating","cuteness","3","1849","1849"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-37","cuteness_rating","cuteness","1","1641","1641"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-44","cuteness_rating","cuteness","3","4312","4312"
"session-1777427123221-814ak1","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-45","cuteness_rating","cuteness","1","3671","3671"
