session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-06","cuteness_rating","cuteness","6","3814","3814"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-21","cuteness_rating","cuteness","5","2581","2581"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-29","cuteness_rating","cuteness","7","3435","3436"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-32","cuteness_rating","cuteness","7","3532","3532"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-31","cuteness_rating","cuteness","6","2446","2446"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-47","cuteness_rating","cuteness","4","2085","2085"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-26","cuteness_rating","cuteness","4","2431","2431"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-10","cuteness_rating","cuteness","5","1986","1986"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-12","cuteness_rating","cuteness","6","2046","2046"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-36","cuteness_rating","cuteness","5","2045","2046"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-03","cuteness_rating","cuteness","5","2179","2179"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-25","cuteness_rating","cuteness","3","3531","3532"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-39","cuteness_rating","cuteness","7","3140","3141"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-13","cuteness_rating","cuteness","7","2006","2006"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-41","cuteness_rating","cuteness","5","2131","2131"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-15","cuteness_rating","cuteness","3","1991","1991"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-49","cuteness_rating","cuteness","3","2079","2079"
"session-1777427124023-nj7hnk","19","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-48","cuteness_rating","cuteness","3","2616","2616"
